指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7473.47021484375,7468.81982421875,7506.31982421875,7463.2900390625,2693030000.0,0.06226406225412511,2026-05-22,Yahoo Finance,2026-05-23 09:37:42
^IXIC,NASDAQ Composite,26343.970703125,26381.564453125,26504.55078125,26309.80078125,8158521000.0,-0.14250007829064462,2026-05-22,Yahoo Finance,2026-05-23 09:37:43
^DJI,Dow Jones Industrial Average,50579.69921875,50434.6484375,50830.23828125,50434.6484375,463477711.0,0.2876014520647465,2026-05-22,Yahoo Finance,2026-05-23 09:37:44
