指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7408.5,7445.10986328125,7454.85009765625,7397.5,3336613000.0,-0.4917303297538594,2026-05-15,Yahoo Finance,2026-05-16 10:20:06
^IXIC,NASDAQ Composite,26225.14453125,26288.923828125,26460.7578125,26097.537109375,8568001000.0,-0.24260900633279714,2026-05-15,Yahoo Finance,2026-05-16 10:20:08
^DJI,Dow Jones Industrial Average,49526.171875,49930.26171875,49930.26171875,49503.5703125,587924735.0,-0.8093084831523217,2026-05-15,Yahoo Finance,2026-05-16 10:20:09
