指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7408.5,7445.10986328125,7454.85009765625,7397.5,5582070000.0,-0.4917303297538594,2026-05-15,Yahoo Finance,2026-05-16 12:02:49
^IXIC,NASDAQ Composite,26225.140625,26288.919921875,26460.759765625,26097.5390625,9584430000.0,-0.2426090423818792,2026-05-15,Yahoo Finance,2026-05-16 12:02:50
^DJI,Dow Jones Industrial Average,49526.171875,49930.26171875,49930.26171875,49503.5703125,587920000.0,-0.8093084831523217,2026-05-15,Yahoo Finance,2026-05-16 12:02:51
