指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7400.9599609375,7390.6298828125,7409.56982421875,7338.5400390625,5624790000.0,0.13977263492822745,2026-05-12,Yahoo Finance,2026-05-13 19:46:04
^IXIC,NASDAQ Composite,26088.19921875,26087.009765625,26190.48046875,25739.220703125,9631840000.0,0.004559561006364742,2026-05-12,Yahoo Finance,2026-05-13 19:46:05
^DJI,Dow Jones Industrial Average,49760.55859375,49739.62109375,49823.94140625,49307.66015625,498360000.0,0.04209420888135975,2026-05-12,Yahoo Finance,2026-05-13 19:46:06
