指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7501.240234375,7454.39990234375,7517.1201171875,7454.39990234375,5267050000.0,0.6283581863715529,2026-05-14,Yahoo Finance,2026-05-15 19:06:24
^IXIC,NASDAQ Composite,26635.220703125,26425.470703125,26707.140625,26423.2109375,9860060000.0,0.7937417742011899,2026-05-14,Yahoo Finance,2026-05-15 19:06:25
^DJI,Dow Jones Industrial Average,50063.4609375,49843.578125,50200.5390625,49843.578125,504090000.0,0.44114572181910344,2026-05-14,Yahoo Finance,2026-05-15 19:06:26
