指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7444.25,7409.1201171875,7460.0400390625,7375.1298828125,3261277000.0,0.4741437884237636,2026-05-13,Yahoo Finance,2026-05-14 10:41:37
^IXIC,NASDAQ Composite,26402.34375,26147.646484375,26474.18359375,25990.158203125,8746798000.0,0.974073386594082,2026-05-13,Yahoo Finance,2026-05-14 10:41:39
^DJI,Dow Jones Industrial Average,49693.19921875,49674.578125,49747.609375,49451.0,491982845.0,0.037486163854562174,2026-05-13,Yahoo Finance,2026-05-14 10:41:40
