指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7405.6201171875,7385.31005859375,7414.1201171875,7384.2001953125,434582167.0,0.2750061735067799,2026-05-11,Yahoo Finance,2026-05-11 21:55:53
^IXIC,NASDAQ Composite,26222.501953125,26135.6328125,26295.017578125,26129.828125,3242556000.0,0.33237817981377793,2026-05-11,Yahoo Finance,2026-05-11 21:55:53
^DJI,Dow Jones Industrial Average,49670.7109375,49549.0703125,49681.51171875,49475.78125,74585916.0,0.24549527212685782,2026-05-11,Yahoo Finance,2026-05-11 21:55:54
