指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7412.83984375,7385.31005859375,7428.97021484375,7384.2001953125,3378815000.0,0.3727641079092622,2026-05-11,Yahoo Finance,2026-05-12 07:45:53
^IXIC,NASDAQ Composite,26274.125,26135.6328125,26359.30859375,26129.828125,10969151000.0,0.5298979691578877,2026-05-11,Yahoo Finance,2026-05-12 07:45:54
^DJI,Dow Jones Industrial Average,49704.46875,49549.0703125,49771.23828125,49475.78125,493233969.0,0.31362533448139557,2026-05-11,Yahoo Finance,2026-05-12 07:45:55
