指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7412.83984375,7385.31005859375,7428.97021484375,7384.2001953125,5821910000.0,0.3727641079092622,2026-05-11,Yahoo Finance,2026-05-12 12:00:56
^IXIC,NASDAQ Composite,26274.130859375,26135.630859375,26359.310546875,26129.830078125,11989910000.0,0.5299279008997759,2026-05-11,Yahoo Finance,2026-05-12 12:00:57
^DJI,Dow Jones Industrial Average,49704.46875,49549.0703125,49771.23828125,49475.78125,493230000.0,0.31362533448139557,2026-05-11,Yahoo Finance,2026-05-12 12:00:58
