指数代码,指数名称,最新价,开盘价,最高价,最低价,成交量,涨跌幅,日期,数据源,更新时间
^GSPC,S&P 500,7473.47021484375,7468.81982421875,7506.31982421875,7463.2900390625,4952440000.0,0.06226406225412511,2026-05-22,Yahoo Finance,2026-05-25 15:17:45
^IXIC,NASDAQ Composite,26343.970703125,26381.560546875,26504.55078125,26309.80078125,9265090000.0,-0.1424852926467713,2026-05-22,Yahoo Finance,2026-05-25 15:17:46
^DJI,Dow Jones Industrial Average,50579.69921875,50434.6484375,50830.23828125,50434.6484375,463470000.0,0.2876014520647465,2026-05-22,Yahoo Finance,2026-05-25 15:17:47
