代码,名称,上市日期,退市日期,证券类型,上市状态,所属板块,流通市值,总市值,动态市盈率
600555,退市海创,2001-03-28,2022-07-13,1,0,沪市主板,0.0,0.0,0.0
600556,天下秀,2001-08-07,,1,1,沪市主板,14136586560.0,14136586560.0,0.0
600557,康缘药业,2002-09-18,,1,1,沪市主板,8339519212.0,8339519212.0,0.0
600558,大西洋,2001-02-27,,1,1,沪市主板,6067808658.0,6067808658.0,0.0
600559,老白干酒,2002-10-29,,1,1,沪市主板,14752243182.0,14837203542.0,0.0
600560,金自天正,2002-09-19,,1,1,沪市主板,3813155775.0,3813155775.0,0.0
600561,江西长运,2002-07-16,,1,1,沪市主板,1866167808.0,1866167808.0,0.0
600562,国睿科技,2003-01-28,,1,1,沪市主板,40298286908.0,40298286908.0,0.0
600563,法拉电子,2002-12-10,,1,1,沪市主板,24311250000.0,24311250000.0,0.0
600565,ST迪马,2002-07-23,2024-08-07,1,0,沪市主板,0.0,0.0,0.0
600566,济川药业,2001-08-22,,1,1,沪市主板,24030193201.0,24111579284.0,0.0
600567,山鹰国际,2001-12-18,,1,1,沪市主板,10722670620.0,10722670620.0,0.0
600568,ST中珠,2001-05-18,,1,1,沪市主板,4456409635.0,5320962048.0,0.0
600569,安阳钢铁,2001-08-20,,1,1,沪市主板,6807638685.0,6807638685.0,0.0
600570,恒生电子,2003-12-16,,1,1,沪市主板,59210532153.0,59210532153.0,0.0
600571,信雅达,2002-11-01,,1,1,沪市主板,7603255787.0,7745547112.0,0.0
600572,康恩贝,2004-04-12,,1,1,沪市主板,11425778438.0,11456251613.0,0.0
600573,惠泉啤酒,2003-02-26,,1,1,沪市主板,2982500000.0,2982500000.0,0.0
600575,淮河能源,2003-03-28,,1,1,沪市主板,13485325896.0,24868768830.0,0.0
600576,祥源文旅,2003-02-20,,1,1,沪市主板,4378386250.0,6991656157.0,0.0
600577,精达股份,2002-09-11,,1,1,沪市主板,31658689049.0,31658689049.0,0.0
600578,京能电力,2002-05-10,,1,1,沪市主板,36485684532.0,36485684532.0,0.0
600579,中化装备,2002-08-09,,1,1,沪市主板,4205478467.0,4205478467.0,0.0
600580,卧龙电驱,2002-06-06,,1,1,沪市主板,75109039680.0,75325306380.0,0.0
600581,八一钢铁,2002-08-16,,1,1,沪市主板,5273168673.0,5273168673.0,0.0
600582,天地科技,2002-05-15,,1,1,沪市主板,24459060352.0,24459060352.0,0.0
600583,海油工程,2002-02-05,,1,1,沪市主板,26174420416.0,26174420416.0,0.0
600584,长电科技,2003-06-03,,1,1,沪市主板,73688091993.0,73688091993.0,0.0
600585,海螺水泥,2002-02-07,,1,1,沪市主板,91033230698.0,120612126698.0,0.0
600586,金晶科技,2002-08-15,,1,1,沪市主板,8645759970.0,8645759970.0,0.0
600587,新华医疗,2002-09-27,,1,1,沪市主板,9881319289.0,9918638376.0,0.0
