code,name,section,next_crawl_index,market_cap
000551,创元科技,深市主板,0,560742.5142
000552,甘肃能化,深市主板,0,938895.5374
000553,安道麦A,深市主板,0,1395503.127
000554,泰山石油,深市主板,0,241889.6824
000555,神州信息,深市主板,0,1333451.6871
000557,西部创业,深市主板,0,753742.6744
000558,天府文旅,深市主板,0,738416.2804
000559,万向钱潮,深市主板,0,3911162.1725
000560,我爱我家,深市主板,0,679037.4792
000561,烽火电子,深市主板,0,661908.0798
000563,陕国投Ａ,深市主板,0,1815459.4771
000564,供销大集,深市主板,0,3811189.4248
000565,渝三峡Ａ,深市主板,0,352944.0671
000566,海南海药,深市主板,0,629583.1558
000567,海德股份,深市主板,0,1255736.9988
000568,泸州老窖,深市主板,0,18745908.1412
000570,苏常柴Ａ,深市主板,0,310076.4189
000571,新大洲A,深市主板,0,418392.0422
000572,海马汽车,深市主板,0,886816.6562
000573,粤宏远Ａ,深市主板,0,259515.5758
000576,甘化科工,深市主板,0,457241.2851
000581,威孚高科,深市主板,0,1870350.7674
000582,北部湾港,深市主板,0,1569814.565
000586,汇源通信,深市主板,0,266753.76
000589,贵州轮胎,深市主板,0,690187.5358
000590,启迪药业,深市主板,0,278388.9696
000591,太阳能,深市主板,0,1806205.5088
000592,平潭发展,深市主板,0,668367.2647
000593,德龙汇能,深市主板,0,255240.0163
000596,古井贡酒,深市主板,0,6301429.2
000597,东北制药,深市主板,0,749756.1051
000598,兴蓉环境,深市主板,0,2014036.0174
000599,青岛双星,深市主板,0,445126.086
000600,建投能源,深市主板,0,784836.6307
000601,韶能股份,深市主板,0,533933.3613
000603,盛达资源,深市主板,0,1555449.2655
000605,渤海股份,深市主板,0,242629.1168
000607,华媒控股,深市主板,0,384989.5481
000610,西安旅游,深市主板,0,306391.0865
000612,焦作万方,深市主板,0,954327.5353
000617,中油资本,深市主板,0,13097193.9258
000619,海螺新材,深市主板,0,212040.0
000620,盈新发展,深市主板,0,756823.308
000623,吉林敖东,深市主板,0,2277236.7274
000625,长安汽车,深市主板,0,10143909.9886
000626,远大控股,深市主板,0,324897.156
000628,高新发展,深市主板,0,1018864.5005
000629,钒钛股份,深市主板,0,2601275.8027
000630,铜陵有色,深市主板,0,5294850.9502
000631,顺发恒能,深市主板,0,752117.6324
000632,三木集团,深市主板,0,178279.4551
000633,合金投资,深市主板,0,244155.6336
000635,英 力 特,深市主板,0,250350.3593
000636,风华高科,深市主板,0,1771387.226
000637,茂化实华,深市主板,0,149479.8726
000639,西王食品,深市主板,0,332463.4458
000650,仁和药业,深市主板,0,808151.2012
000651,格力电器,深市主板,0,21977894.8946
000652,泰达股份,深市主板,0,608952.9543
000655,金岭矿业,深市主板,0,504253.1748
000657,中钨高新,深市主板,0,2313015.0338
000659,珠海中富,深市主板,0,361282.4081
000661,长春高新,深市主板,0,5070834.0877
000663,永安林业,深市主板,0,199402.0786
000665,湖北广电,深市主板,0,675449.1493
000670,盈方微,深市主板,0,711282.0822
000672,上峰水泥,深市主板,0,930619.632
000676,智度股份,深市主板,0,1231650.7902
000677,恒天海龙,深市主板,0,437172.8417
000678,襄阳轴承,深市主板,0,627370.1029
000679,大连友谊,深市主板,0,276210.0
000680,山推股份,深市主板,0,1300240.0842
000681,视觉中国,深市主板,0,1338683.0846
000682,东方电子,深市主板,0,1632798.3517
000683,博源化工,深市主板,0,2074193.4519
000685,中山公用,深市主板,0,1460865.9176
000686,东北证券,深市主板,0,1949597.2782
000688,国城矿业,深市主板,0,1609311.5624
000690,宝新能源,深市主板,0,1015478.1321
000692,惠天热电,深市主板,0,182761.7108
000695,滨海能源,深市主板,0,238225.4049
000698,沈阳化工,深市主板,0,309571.4716
000700,模塑科技,深市主板,0,996964.7125
000701,厦门信达,深市主板,0,375860.802
000702,正虹科技,深市主板,0,192243.5293
000703,恒逸石化,深市主板,0,2447633.2976
000705,浙江震元,深市主板,0,289291.7305
000707,双环科技,深市主板,0,291483.5404
000708,中信特钢,深市主板,0,6702625.1866
000709,河钢股份,深市主板,0,2480498.9755
000710,贝瑞基因,深市主板,0,422127.8314
000712,锦龙股份,深市主板,0,1237008.8266
000713,国投丰乐,深市主板,0,421828.2913
000715,中兴商业,深市主板,0,302914.2914
000716,黑芝麻,深市主板,0,451532.2609
000717,中南股份,深市主板,0,647090.7777
000718,苏宁环球,深市主板,0,591062.1186
000719,中原传媒,深市主板,0,787901.2483
000720,新能泰山,深市主板,0,415911.95
000721,西安饮食,深市主板,0,459587.1963
000722,湖南发展,深市主板,0,564416.4709
000723,美锦能源,深市主板,0,2066234.9498
000725,京东方Ａ,深市主板,0,15049480.5824
000726,鲁  泰Ａ,深市主板,0,392074.8367
000727,冠捷科技,深市主板,0,1250160.4865
000728,国元证券,深市主板,0,3857579.6556
000729,燕京啤酒,深市主板,0,3076777.7737
000731,四川美丰,深市主板,0,377768.4926
000733,振华科技,深市主板,0,2758837.6656
000735,罗 牛 山,深市主板,0,722763.6407
000737,北方铜业,深市主板,0,2814907.4005
000738,航发控制,深市主板,0,2580391.01
000739,普洛药业,深市主板,0,1907239.843
000750,国海证券,深市主板,0,2573514.5658
000751,锌业股份,深市主板,0,497683.679
000753,漳州发展,深市主板,0,703951.5604
000755,山西高速,深市主板,0,707243.5145
000756,新华制药,深市主板,0,776375.3042
000757,浩物股份,深市主板,0,275941.7184
000758,中色股份,深市主板,0,1237031.304
