date,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover,etf_code,etf_name,crawl_time
2024-12-24,0.995,1.0,1.005,0.98,58219000,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2024-12-25,1.0,0.988,1.0,0.975,25337600,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2024-12-26,0.988,1.007,1.013,0.985,84424400,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2024-12-27,1.005,0.996,1.014,0.992,61417500,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2024-12-30,0.994,0.985,0.998,0.977,25363300,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2024-12-31,0.981,0.955,0.988,0.953,42079000,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-02,0.954,0.924,0.958,0.917,35000800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-03,0.924,0.895,0.93,0.894,29976500,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-06,0.894,0.886,0.903,0.88,21192000,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-07,0.891,0.917,0.92,0.886,30686400,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-08,0.914,0.92,0.929,0.888,37793300,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-09,0.912,0.925,0.935,0.911,26547100,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-10,0.924,0.912,0.943,0.912,61431800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-13,0.907,0.915,0.925,0.894,67392300,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-14,0.919,0.963,0.964,0.915,45171700,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-15,0.963,0.959,0.964,0.951,21981600,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-16,0.959,0.951,0.973,0.941,88080700,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-17,0.947,0.964,0.973,0.941,28509900,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-20,0.966,0.972,0.978,0.962,22601000,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-21,0.977,0.986,0.986,0.964,38064800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-22,0.979,0.978,0.985,0.97,21243200,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-23,0.985,0.973,1.0,0.973,25100600,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-24,0.974,0.999,0.999,0.97,24232800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-01-27,0.999,0.973,0.999,0.971,19831600,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-05,0.989,0.983,0.997,0.975,20273600,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-06,0.977,1.022,1.025,0.976,87646200,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-07,1.021,1.038,1.053,1.02,75495400,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-10,1.036,1.056,1.063,1.028,45871990,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-11,1.057,1.044,1.057,1.036,22254900,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-12,1.04,1.064,1.065,1.034,32081200,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-13,1.064,1.039,1.069,1.037,21736700,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-14,1.036,1.047,1.055,1.033,36396400,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-17,1.054,1.055,1.067,1.045,29789200,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-18,1.053,1.033,1.063,1.03,25004800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-19,1.034,1.075,1.075,1.034,35233010,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-20,1.074,1.089,1.09,1.069,27228800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-21,1.088,1.12,1.132,1.079,37719800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-24,1.125,1.11,1.125,1.095,77710500,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
2025-02-25,1.088,1.112,1.125,1.087,35624800,0.0,0.0,0.0,0.0,0.0,588230,科创200ETF,2025-08-30 18:26:17
