date,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover,etf_code,etf_name,crawl_time
2023-01-03,0.99,0.992,0.998,0.98,2376704778,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-04,0.992,0.986,0.996,0.983,699271925,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-05,0.99,1.018,1.018,0.99,1832741962,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-06,1.014,1.031,1.041,1.014,864136256,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-09,1.035,1.038,1.048,1.033,514919905,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-10,1.037,1.055,1.058,1.036,346173981,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-11,1.057,1.043,1.06,1.041,220683577,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-12,1.044,1.049,1.059,1.044,196457783,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-13,1.056,1.061,1.061,1.049,288107139,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-16,1.049,1.082,1.094,1.049,277038617,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-17,1.078,1.086,1.091,1.077,164060705,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-18,1.086,1.083,1.09,1.08,233277917,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-19,1.081,1.093,1.093,1.078,193443249,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-20,1.097,1.102,1.104,1.094,197242633,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-30,1.137,1.115,1.143,1.114,278416039,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-01-31,1.115,1.099,1.117,1.096,163976099,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-01,1.1,1.114,1.114,1.097,198165806,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-02,1.12,1.107,1.121,1.105,185873140,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-03,1.102,1.093,1.107,1.083,199836507,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-06,1.09,1.078,1.09,1.069,236539403,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-07,1.078,1.076,1.084,1.069,223940566,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-08,1.076,1.072,1.082,1.07,279826102,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-09,1.072,1.088,1.089,1.066,260036031,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-10,1.087,1.08,1.088,1.072,253666127,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-13,1.08,1.087,1.09,1.072,236624478,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-14,1.089,1.084,1.092,1.078,261659068,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-15,1.084,1.072,1.089,1.071,275952688,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
2023-02-16,1.072,1.059,1.081,1.051,212821264,0.0,0.0,0.0,0.0,0.0,159682,创业50ETF,2025-08-30 18:26:17
