ETF代码,ETF名称,基金规模,next_crawl_index
588500,科创100增强ETF易方达,1.26374337,763
588120,科创100ETF国泰,10.93993283,763
515070,人工智能AIETF,110.00163052,763
512600,消费ETF嘉实,10.11576292,763
159230,通用航空ETF华夏,7.17813922,763
515320,电子50ETF,1.15983087,763
562810,上证指数增强ETF嘉实,0.44554474,763
516900,食品饮料ETF基金,2.04967138,763
588690,科创增强ETF银华,1.01482488,763
159303,恒生医疗ETF大成,0.77381388,763
589950,科创100ETF富国,5.14158213,763
589100,科创芯片ETF国泰,6.43117346,763
515250,智能汽车ETF,7.01933395,763
561310,消电ETF国泰,0.50258003,763
159768,房地产ETF银华,4.25825726,763
515990,一带一路ETF汇添富,1.02441379,763
515170,食品饮料ETF,52.30274789,763
517800,人工智能50ETF,4.35503316,763
159262,港股通科技ETF,103.41396212,763
589130,科创芯片ETF易方达,22.7337446,763
159153,消费电子ETF鹏华,2.30230974,763
562560,信息技术ETF,0.47341991,763
562820,集成电路ETF嘉实,1.93233168,763
159553,中证2000增强ETF海富通,0.42781463,763
589630,科创综指ETF国泰,3.8900463,763
159245,港股通消费ETF,1.65773749,763
589170,科创芯片设计ETF鹏华,4.52388098,763
159709,物联网ETF工银,0.46533441,763
588810,科创芯片ETF富国,5.4493236,763
589660,科创综指ETF南方,4.6200615,763
159120,港股科技30ETF,1.32469044,763
520840,港股通恒生科技ETF,11.15836636,763
516520,智能驾驶ETF,11.92283182,763
517350,沪港深科技ETF广发,0.72326716,763
588920,科创芯片ETF鹏华,3.3603367,763
513870,纳指ETF富国,20.97609121,763
513730,东南亚科技ETF,11.52399901,763
561660,通用航空ETF基金,0.8164842,763
561880,A100ETF基金,1.27708922,763
159538,信创ETF富国,0.87378887,763
560680,消费ETF广发,3.06977486,763
588100,科创信息ETF嘉实,1.99461674,763
588260,科创信息ETF,1.32012948,763
159283,通用航空ETF南方,3.60048406,763
589050,科创综指ETF兴业,1.30872328,763
520520,恒生消费ETF华泰柏瑞,0.71921762,763
517660,物联网ETF天弘,0.52812587,763
510020,超大盘ETF博时,1.41312816,763
159248,人工智能ETF万家,3.36624695,763
589300,科创综指ETF嘉实,0.96869273,763
515650,消费50ETF,36.932412,763
588770,科创信息ETF摩根,9.29498288,763
513160,港股科技ETF银华,69.0146217,763
159795,智能汽车ETF汇添富,0.35283843,763
159672,消费ETF博时,0.88610471,763
159306,汽车零件ETF,0.34448521,763
589900,科创综指ETF博时,3.89110177,763
159273,云计算ETF汇添富,14.77366281,763
588750,科创芯片ETF汇添富,54.26075524,763
159540,信创ETF易方达,1.82215911,763
589890,科创综指ETF景顺,4.58861369,763
513500,标普500ETF博时,233.68941126,763
159537,信创ETF,1.23655131,763
515260,电子ETF,5.7106508,763
159265,港股消费ETF鹏华,4.23664865,763
159501,纳指ETF嘉实,105.85523031,763
159736,食品饮料ETF天弘,54.16459353,763
588290,科创芯片ETF基金,38.99421264,763
159217,港股通创新药ETF工银,51.62926771,763
