代码,名称,所属板块,流通市值,总市值,数据状态,动态市盈率,filter,next_crawl_index,质押股数
600118,中国卫星,沪市主板,128773066802.00,128773066802.00,基础数据已获取,0.00,False,0,0.00
600119,长江投资,沪市主板,2958689997.00,2958689997.00,基础数据已获取,0.00,False,0,0.00
600120,浙江东方,沪市主板,23600286110.00,23600286110.00,基础数据已获取,0.00,False,0,0.00
600123,兰花科创,沪市主板,9016228929.00,9016228929.00,基础数据已获取,0.00,False,0,0.00
600125,铁龙物流,沪市主板,8564223493.00,8564223493.00,基础数据已获取,0.00,False,0,0.00
600126,杭钢股份,沪市主板,30056982839.00,30056982839.00,基础数据已获取,0.00,False,0,0.00
600127,金健米业,沪市主板,4434722036.00,4434722036.00,基础数据已获取,0.00,False,0,0.00
600128,苏豪弘业,沪市主板,2884712075.00,2942357803.00,基础数据已获取,0.00,False,0,0.00
600131,国网信通,沪市主板,22973337912.00,23020400395.00,基础数据已获取,0.00,False,0,0.00
600132,重庆啤酒,沪市主板,25558518966.00,25558518966.00,基础数据已获取,0.00,False,0,0.00
600133,东湖高新,沪市主板,11504728251.00,11504728251.00,基础数据已获取,0.00,False,0,0.00
600135,乐凯胶片,沪市主板,5865055249.00,5865055249.00,基础数据已获取,0.00,False,0,0.00
600138,中青旅,沪市主板,7325260800.00,7325260800.00,基础数据已获取,0.00,False,0,0.00
600148,长春一东,沪市主板,3042603675.00,3042603675.00,基础数据已获取,0.00,False,0,0.00
600149,廊坊发展,沪市主板,2068070400.00,2068070400.00,基础数据已获取,0.00,False,0,0.00
600150,中国船舶,沪市主板,267385324363.00,267385324363.00,基础数据已获取,0.00,False,0,0.00
600151,航天机电,沪市主板,24554399153.00,24554399153.00,基础数据已获取,0.00,False,0,0.00
600153,建发股份,沪市主板,27226666994.00,27226666994.00,基础数据已获取,0.00,False,0,0.00
600156,华升股份,沪市主板,3373708790.00,3373708790.00,基础数据已获取,0.00,False,0,0.00
600158,中体产业,沪市主板,9460798841.00,9460798841.00,基础数据已获取,0.00,False,0,0.00
600159,大龙地产,沪市主板,2423609437.00,2423609437.00,基础数据已获取,0.00,False,0,0.00
600160,巨化股份,沪市主板,105668061610.00,105668061610.00,基础数据已获取,0.00,False,0,0.00
600161,天坛生物,沪市主板,33120971721.00,33120971721.00,基础数据已获取,0.00,False,0,0.00
600162,香江控股,沪市主板,6340769957.00,6340769957.00,基础数据已获取,0.00,False,0,0.00
600163,中闽能源,沪市主板,11360886974.00,11360886974.00,基础数据已获取,0.00,False,0,0.00
600166,福田汽车,沪市主板,25494029182.00,25494029182.00,基础数据已获取,0.00,False,0,0.00
600168,武汉控股,沪市主板,5294809043.00,5294809043.00,基础数据已获取,0.00,False,0,0.00
600170,上海建工,沪市主板,26391241040.00,26391241040.00,基础数据已获取,0.00,False,0,0.00
600171,上海贝岭,沪市主板,24103392302.00,24103392302.00,基础数据已获取,0.00,False,0,0.00
600177,雅戈尔,沪市主板,34398407751.00,34398407751.00,基础数据已获取,0.00,False,0,0.00
600178,东安动力,沪市主板,6134161517.00,6134161517.00,基础数据已获取,0.00,False,0,0.00
600183,生益科技,沪市主板,169387039223.00,171835894330.00,基础数据已获取,0.00,False,0,0.00
600184,光电股份,沪市主板,11328221978.00,11328221978.00,基础数据已获取,0.00,False,0,0.00
600192,长城电工,沪市主板,5013839800.00,5013839800.00,基础数据已获取,0.00,False,0,0.00
600195,中牧股份,沪市主板,8669548727.00,8669548727.00,基础数据已获取,0.00,False,0,0.00
600197,伊力特,沪市主板,6477761876.00,6477761876.00,基础数据已获取,0.00,False,0,0.00
600198,大唐电信,沪市主板,13813687420.00,13831233570.00,基础数据已获取,0.00,False,0,0.00
600199,金种子酒,沪市主板,6216179987.00,6216179987.00,基础数据已获取,0.00,False,0,0.00
600202,哈空调,沪市主板,2369045353.00,2369045353.00,基础数据已获取,0.00,False,0,0.00
600203,福日电子,沪市主板,7916390895.00,7916390895.00,基础数据已获取,0.00,False,0,0.00
600206,有研新材,沪市主板,19809347969.00,19809347969.00,基础数据已获取,0.00,False,0,0.00
600210,紫江企业,沪市主板,12391734411.00,12391734411.00,基础数据已获取,0.00,False,0,0.00
600215,派斯林,沪市主板,3559117635.00,3559117635.00,基础数据已获取,0.00,False,0,0.00
600216,浙江医药,沪市主板,14013966967.00,14164924058.00,基础数据已获取,0.00,False,0,0.00
600229,城市传媒,沪市主板,4459777542.00,4459777542.00,基础数据已获取,0.00,False,0,0.00
600230,沧州大化,沪市主板,7422320999.00,7422320999.00,基础数据已获取,0.00,False,0,0.00
600234,科新发展,沪市主板,3559784394.00,3559784394.00,基础数据已获取,0.00,False,0,0.00
600235,民丰特纸,沪市主板,2459100000.00,2459100000.00,基础数据已获取,0.00,False,0,0.00
600237,铜峰电子,沪市主板,6577204321.00,6641314752.00,基础数据已获取,0.00,False,0,0.00
600248,陕建股份,沪市主板,13600063180.00,13724828500.00,基础数据已获取,0.00,False,0,0.00
600249,两面针,沪市主板,3355000000.00,3355000000.00,基础数据已获取,0.00,False,0,0.00
600250,南京商旅,沪市主板,3705384976.00,3705384976.00,基础数据已获取,0.00,False,0,0.00
600252,中恒集团,沪市主板,8501715397.00,8501715397.00,基础数据已获取,0.00,False,0,0.00
600255,鑫科材料,沪市主板,7495509863.00,7495509863.00,基础数据已获取,0.00,False,0,0.00
600258,首旅酒店,沪市主板,19540554705.00,19540554705.00,基础数据已获取,0.00,False,0,0.00
600259,中稀有色,沪市主板,26497692272.00,26497692272.00,基础数据已获取,0.00,False,0,0.00
600261,阳光照明,沪市主板,4953046504.00,4953046504.00,基础数据已获取,0.00,False,0,0.00
600262,北方股份,沪市主板,4970800000.00,4970800000.00,基础数据已获取,0.00,False,0,0.00
600266,城建发展,沪市主板,13388545620.00,13388545620.00,基础数据已获取,0.00,False,0,0.00
600267,海正药业,沪市主板,12688820938.00,12695802396.00,基础数据已获取,0.00,False,0,0.00
600268,国电南自,沪市主板,14101097653.00,14171397353.00,基础数据已获取,0.00,False,0,0.00
600269,赣粤高速,沪市主板,11560264719.00,11560264719.00,基础数据已获取,0.00,False,0,0.00
600271,航天信息,沪市主板,20529961789.00,20529961789.00,基础数据已获取,0.00,False,0,0.00
600273,嘉化能源,沪市主板,15102069080.00,15102069080.00,基础数据已获取,0.00,False,0,0.00
600278,东方创业,沪市主板,7951869880.00,7951869880.00,基础数据已获取,0.00,False,0,0.00
