日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称,前收盘,复权状态,交易状态,动态市盈率,动态市现率,动态市净率
2023-04-03,688531,200.000,194.300,204.000,185.700,5618297,1091635107.10,9.85,0.05,0.10,0.00,688531,194.20,不复权,正常交易,,,
2023-04-04,688531,188.470,182.500,193.000,178.880,5024020,916883650.00,7.89,-6.07,-11.80,0.00,688531,194.30,不复权,正常交易,,,
2023-04-06,688531,179.050,193.000,194.000,176.000,4229952,816380736.00,10.23,5.75,10.50,0.00,688531,182.50,不复权,正常交易,,,
2023-04-07,688531,192.700,195.290,196.000,185.550,2555536,499070625.44,5.63,1.19,2.29,0.00,688531,193.00,不复权,正常交易,,,
2023-04-10,688531,195.000,187.420,201.990,185.000,2606762,488559334.04,9.18,-4.03,-7.87,0.00,688531,195.29,不复权,正常交易,,,
2023-04-11,688531,183.000,191.000,191.950,180.080,1474107,281554437.00,6.59,1.91,3.58,0.00,688531,187.42,不复权,正常交易,,,
2023-04-12,688531,188.500,185.010,190.290,182.010,1866591,345338000.91,4.55,-3.14,-5.99,0.00,688531,191.00,不复权,正常交易,,,
2023-04-13,688531,183.230,184.050,186.580,179.000,1298822,239048189.10,4.23,-0.52,-0.96,0.00,688531,185.01,不复权,正常交易,,,
2023-04-14,688531,183.010,194.110,199.900,181.210,2105489,408696469.79,10.31,5.47,10.06,0.00,688531,184.05,不复权,正常交易,,,
2023-04-17,688531,196.280,190.990,201.700,188.000,1758852,335923143.48,7.29,-1.61,-3.12,0.00,688531,194.11,不复权,正常交易,,,
2023-04-18,688531,190.030,185.100,193.650,184.810,1284110,237688761.00,4.78,-3.08,-5.89,0.00,688531,190.99,不复权,正常交易,,,
2023-04-19,688531,185.000,178.800,187.660,178.600,1297605,232011774.00,5.07,-3.40,-6.30,0.00,688531,185.10,不复权,正常交易,,,
2023-04-20,688531,177.510,177.670,177.670,169.010,1605968,285332334.56,5.12,-0.63,-1.13,0.00,688531,178.80,不复权,正常交易,,,
2023-04-21,688531,174.400,166.000,177.450,166.000,1155530,191817980.00,6.90,-6.57,-11.67,0.00,688531,177.67,不复权,正常交易,,,
2023-04-24,688531,163.880,163.500,168.840,162.570,766543,125329780.50,3.86,-1.51,-2.50,0.00,688531,166.00,不复权,正常交易,,,
2023-04-25,688531,162.380,155.660,164.490,154.360,1068819,166372365.54,6.56,-4.80,-7.84,0.00,688531,163.50,不复权,正常交易,,,
2023-04-26,688531,155.170,160.690,163.800,153.620,654672,105199243.68,6.63,3.23,5.03,0.00,688531,155.66,不复权,正常交易,,,
2023-04-27,688531,159.050,158.680,165.790,157.550,494908,78532001.44,5.23,-1.25,-2.01,0.00,688531,160.69,不复权,正常交易,,,
2023-04-28,688531,159.000,158.000,161.960,153.460,672765,106296870.00,5.54,-0.43,-0.68,0.00,688531,158.68,不复权,正常交易,,,
2023-05-04,688531,156.000,154.000,157.580,151.500,591942,91159068.00,4.01,-2.53,-4.00,0.00,688531,158.00,不复权,正常交易,,,
2023-05-05,688531,152.800,144.690,152.800,143.850,753293,108993964.17,6.22,-6.05,-9.31,0.00,688531,154.00,不复权,正常交易,,,
2023-05-08,688531,144.800,162.100,165.980,143.760,1139141,184654756.10,15.46,12.03,17.41,0.00,688531,144.69,不复权,正常交易,,,
2023-05-09,688531,161.590,152.000,162.090,152.000,733404,111477408.00,6.64,-6.23,-10.10,0.00,688531,162.10,不复权,正常交易,,,
