日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称,前收盘,复权状态,交易状态,动态市盈率,动态市现率,动态市净率
2024-10-23,601020,12.52,12.29,12.62,12.26,415275,515851403.0,2.89,-1.44,-0.18,5.06,,,,,,,
2024-10-24,601020,12.22,12.18,12.33,12.02,270305,329181357.0,2.52,-0.9,-0.11,3.3,,,,,,,
2024-10-25,601020,12.04,12.16,12.31,12.0,340189,413740222.0,2.55,-0.16,-0.02,4.15,,,,,,,
2024-10-28,601020,12.14,12.45,12.5,12.07,392760,486723431.0,3.54,2.38,0.29,4.79,,,,,,,
2024-10-29,601020,12.32,12.13,12.6,12.12,458979,566088691.0,3.86,-2.57,-0.32,5.6,,,,,,,
2024-10-30,601020,12.16,12.74,13.03,12.07,722096,903174708.0,7.91,5.03,0.61,8.81,,,,,,,
2024-10-31,601020,12.67,13.29,13.76,12.58,770377,1025850269.0,9.26,4.32,0.55,9.4,,,,,,,
2024-11-01,601020,13.36,14.62,14.62,13.36,896894,1291861135.0,9.48,10.01,1.33,10.94,,,,,,,
2024-11-04,601020,14.96,14.11,15.43,13.91,1252319,1827571767.0,10.4,-3.49,-0.51,15.27,,,,,,,
2024-11-05,601020,14.08,15.53,15.53,14.08,873502,1314610055.0,10.28,10.06,1.42,10.65,,,,,,,
2024-11-06,601020,16.26,15.88,16.61,15.48,1142359,1833968211.0,7.28,2.25,0.35,13.93,,,,,,,
2024-11-07,601020,15.16,14.94,15.37,14.76,880307,1323312842.0,3.84,-5.92,-0.94,10.74,,,,,,,
2024-11-08,601020,15.2,14.65,15.61,14.51,751347,1132845029.0,7.36,-1.94,-0.29,9.16,,,,,,,
2024-11-11,601020,14.55,15.06,15.31,14.36,568862,846118842.0,6.48,2.8,0.41,6.94,,,,,,,
2024-11-12,601020,14.84,14.18,15.14,14.02,675910,987353721.0,7.44,-5.84,-0.88,8.24,,,,,,,
2024-11-13,601020,14.16,14.21,14.43,13.87,379583,537814403.0,3.95,0.21,0.03,4.63,,,,,,,
2024-11-14,601020,14.16,13.93,14.48,13.89,437484,625274834.0,4.15,-1.97,-0.28,5.34,,,,,,,
2024-11-15,601020,13.86,13.26,14.07,13.05,489854,670716283.0,7.32,-4.81,-0.67,5.97,,,,,,,
2024-11-18,601020,13.27,12.61,13.41,12.52,396297,508431608.0,6.71,-4.9,-0.65,4.83,,,,,,,
2024-11-19,601020,12.61,13.05,13.06,12.61,330038,426015034.0,3.57,3.49,0.44,4.03,,,,,,,
