日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-10,2149,14.7,14.27,14.85,14.16,119773,177645238.09,4.78,-1.25,-0.18,2.45
2024-10-11,2149,14.26,13.91,14.35,13.78,75744,108620314.57,3.99,-2.52,-0.36,1.55
2024-10-14,2149,13.97,14.4,14.59,13.92,138500,202620616.19,4.82,3.52,0.49,2.84
2024-10-15,2149,14.27,14.02,14.51,14.0,85508,124038783.44,3.54,-2.64,-0.38,1.75
2024-10-16,2149,13.89,14.03,14.13,13.75,45908,65584506.96,2.71,0.07,0.01,0.94
2024-10-17,2149,14.1,14.33,14.68,14.1,113090,166052851.94,4.13,2.14,0.3,2.32
2024-10-18,2149,14.31,14.75,14.89,14.07,118702,176758562.31,5.72,2.93,0.42,2.43
2024-10-21,2149,14.73,15.56,15.77,14.64,180321,282763767.09,7.66,5.49,0.81,3.69
2024-10-22,2149,15.41,15.21,15.63,15.0,106908,166708558.29,4.05,-2.25,-0.35,2.19
2024-10-23,2149,15.09,15.88,16.2,14.7,166810,267961486.4,9.86,4.4,0.67,3.42
2024-10-24,2149,15.87,16.0,16.43,15.7,142980,233191055.92,4.6,0.76,0.12,2.93
2024-10-25,2149,16.0,16.04,16.3,15.71,101522,165241033.96,3.69,0.25,0.04,2.08
2024-10-28,2149,15.94,15.91,16.2,15.76,97325,158076121.14,2.74,-0.81,-0.13,1.99
2024-10-29,2149,15.88,15.55,15.91,15.48,87328,139271559.48,2.7,-2.26,-0.36,1.79
2024-10-30,2149,15.5,15.63,15.86,15.42,59716,95180433.02,2.83,0.51,0.08,1.22
2024-10-31,2149,15.71,16.67,16.93,15.61,227973,383533014.87,8.45,6.65,1.04,4.67
2024-11-01,2149,16.53,15.95,16.69,15.88,163054,268651375.68,4.86,-4.32,-0.72,3.34
2024-11-04,2149,15.9,15.8,16.04,15.6,110682,178165468.39,2.76,-0.94,-0.15,2.27
2024-11-05,2149,15.76,16.92,17.0,15.62,179746,303196639.75,8.73,7.09,1.12,3.68
