日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-10-10,603609,7.3,7.35,7.59,7.3,75136,56481435.0,3.99,1.1,0.08,0.82
2024-10-11,603609,7.35,7.11,7.39,7.04,55621,40302526.0,4.76,-3.27,-0.24,0.6
2024-10-14,603609,7.18,7.22,7.31,7.07,42614,30801908.0,3.38,1.55,0.11,0.46
2024-10-15,603609,7.28,7.07,7.28,7.07,46567,33504954.0,2.91,-2.08,-0.15,0.51
2024-10-16,603609,7.05,7.13,7.2,7.02,36868,26415251.0,2.55,0.85,0.06,0.4
2024-10-17,603609,7.13,7.01,7.2,7.01,29540,21068834.0,2.66,-1.68,-0.12,0.32
2024-10-18,603609,7.01,7.11,7.2,6.93,62066,44098652.0,3.85,1.43,0.1,0.68
2024-10-21,603609,7.2,7.1,7.2,7.07,47462,34053577.0,1.83,-0.14,-0.01,0.52
2024-10-22,603609,7.09,7.19,7.24,7.08,49045,35294016.0,2.25,1.27,0.09,0.53
2024-10-23,603609,7.19,7.24,7.26,7.15,48298,35044427.0,1.53,0.7,0.05,0.53
2024-10-24,603609,7.19,7.21,7.3,7.17,33571,24417896.0,1.8,-0.41,-0.03,0.37
2024-10-25,603609,7.23,7.4,7.4,7.21,50115,37049789.0,2.64,2.64,0.19,0.55
2024-10-28,603609,7.42,7.59,7.59,7.34,43672,32962926.0,3.38,2.57,0.19,0.47
2024-10-29,603609,7.58,7.39,7.61,7.34,60255,45062989.0,3.56,-2.64,-0.2,0.66
2024-10-30,603609,7.76,8.13,8.13,7.76,284311,230398095.0,5.01,10.01,0.74,3.09
2024-10-31,603609,8.17,8.15,8.19,7.85,294421,237817472.0,4.18,0.25,0.02,3.2
2024-11-01,603609,8.25,8.35,8.51,8.16,225637,189938535.0,4.29,2.45,0.2,2.45
2024-11-04,603609,8.48,8.65,8.67,8.22,186123,158315215.0,5.39,3.59,0.3,2.02
2024-11-05,603609,8.55,8.57,8.81,8.55,141954,123202130.0,3.01,-0.92,-0.08,1.54
2024-11-06,603609,8.57,8.56,8.7,8.43,101223,87440691.0,3.15,-0.12,-0.01,1.1
2024-11-07,603609,8.51,8.73,8.78,8.51,105156,92018950.0,3.15,1.99,0.17,1.14
2024-11-08,603609,8.82,8.46,8.82,8.41,107673,92615826.0,4.7,-3.09,-0.27,1.17
2024-11-11,603609,8.39,8.39,8.47,8.32,63820,53762669.0,1.77,-0.83,-0.07,0.69
2024-11-12,603609,8.36,8.35,8.5,8.29,71010,59954067.0,2.5,-0.48,-0.04,0.77
2024-11-13,603609,8.3,8.33,8.42,8.19,57229,47737526.0,2.75,-0.24,-0.02,0.62
2024-11-14,603609,8.29,8.16,8.35,8.14,49363,40862932.0,2.52,-2.04,-0.17,0.54
2024-11-15,603609,8.13,8.12,8.28,8.11,59284,48785790.0,2.08,-0.49,-0.04,0.64
2024-11-18,603609,8.13,8.11,8.26,8.09,52467,43101855.0,2.09,-0.12,-0.01,0.57
2024-11-19,603609,8.16,8.17,8.2,7.98,49780,40783302.0,2.71,0.74,0.06,0.54
2024-11-20,603609,8.17,8.24,8.29,8.12,51303,42363804.0,2.08,0.86,0.07,0.56
2024-11-21,603609,8.28,8.22,8.32,8.14,43144,35677481.0,2.18,-0.24,-0.02,0.47
2024-11-22,603609,8.19,7.95,8.29,7.95,46694,38169053.0,4.14,-3.28,-0.27,0.51
2024-11-25,603609,8.05,8.2,8.26,8.01,57498,47181551.0,3.14,3.14,0.25,0.63
2024-11-26,603609,8.17,8.25,8.32,8.17,40025,33256880.0,1.83,0.61,0.05,0.44
2024-11-27,603609,8.24,8.42,8.44,8.05,65683,54581402.0,4.73,2.06,0.17,0.71
2024-11-28,603609,8.42,8.32,8.48,8.25,63036,52973589.0,2.73,-1.19,-0.1,0.69
2024-11-29,603609,8.3,8.39,8.45,8.24,56074,47216222.0,2.52,0.84,0.07,0.61
2024-12-02,603609,8.37,8.48,8.53,8.36,62432,53135620.0,2.03,1.07,0.09,0.68
2024-12-03,603609,8.46,8.64,8.68,8.41,78310,67803879.0,3.18,1.89,0.16,0.85
2024-12-04,603609,8.65,8.57,8.67,8.5,59520,51445390.0,1.97,-0.81,-0.07,0.65
2024-12-05,603609,8.58,8.5,8.61,8.43,38944,33247989.0,2.1,-0.82,-0.07,0.42
2024-12-06,603609,8.44,8.6,8.63,8.44,51847,44560692.0,2.24,1.18,0.1,0.56
2024-12-09,603609,8.6,8.53,8.63,8.47,39057,33582178.0,1.86,-0.81,-0.07,0.42
2024-12-10,603609,8.69,8.62,8.76,8.59,56336,49183550.0,1.99,1.06,0.09,0.61
2024-12-11,603609,8.59,8.81,8.85,8.57,56477,49849659.0,3.25,2.2,0.19,0.61
2024-12-12,603609,8.85,9.1,9.11,8.75,62249,56173109.0,4.09,3.29,0.29,0.68
2024-12-13,603609,9.02,8.91,9.07,8.86,61490,55224225.0,2.31,-2.09,-0.19,0.67
2024-12-16,603609,8.91,9.2,9.21,8.89,87683,80093557.0,3.59,3.25,0.29,0.95
2024-12-17,603609,9.14,8.94,9.33,8.88,119243,108363741.0,4.89,-2.83,-0.26,1.3
2024-12-18,603609,8.91,8.71,9.03,8.69,87376,77246360.0,3.8,-2.57,-0.23,0.95
2024-12-19,603609,8.71,8.75,8.8,8.54,66231,57717519.0,2.99,0.46,0.04,0.72
2024-12-20,603609,8.78,8.91,8.93,8.74,41661,37160017.0,2.17,1.83,0.16,0.45
2024-12-23,603609,8.9,8.75,8.95,8.69,48110,42504202.0,2.92,-1.8,-0.16,0.52
2024-12-24,603609,8.75,8.79,8.86,8.73,34327,30344099.0,1.49,0.46,0.04,0.37
2024-12-25,603609,8.79,8.78,8.81,8.62,34180,29981746.0,2.16,-0.11,-0.01,0.37
2024-12-26,603609,8.78,8.62,8.91,8.58,60500,52812546.0,3.76,-1.82,-0.16,0.66
2024-12-27,603609,8.63,8.85,8.97,8.55,63524,56413691.0,4.87,2.67,0.23,0.69
2024-12-30,603609,8.85,8.74,8.88,8.7,49901,44009925.0,2.03,-1.24,-0.11,0.54
2024-12-31,603609,8.75,8.57,8.86,8.55,46175,40293674.0,3.55,-1.95,-0.17,0.5
