日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称,前收盘,复权状态,交易状态,动态市盈率,动态市现率,动态市净率
2024-10-30,2298,4.82,4.97,5.01,4.82,285952,141031937.25,3.9,2.05,0.1,4.37,,,,,,,
2024-10-31,2298,5.15,5.09,5.18,5.03,449068,229034772.34,3.02,2.41,0.12,6.87,,,,,,,
2024-11-01,2298,5.1,4.74,5.15,4.73,407228,198492540.25,8.25,-6.88,-0.35,6.23,,,,,,,
2024-11-04,2298,4.75,4.83,4.88,4.71,229620,110109789.74,3.59,1.9,0.09,3.51,,,,,,,
2024-11-05,2298,4.86,5.13,5.15,4.82,401080,201296809.78,6.83,6.21,0.3,6.14,,,,,,,
2024-11-06,2298,5.19,5.1,5.22,5.05,344068,176266805.34,3.31,-0.58,-0.03,5.26,,,,,,,
2024-11-07,2298,5.07,5.23,5.24,5.05,360005,185727444.93,3.73,2.55,0.13,5.51,,,,,,,
2024-11-08,2298,5.3,5.75,5.75,5.23,292153,165104633.5,9.94,9.94,0.52,4.47,,,,,,,
2024-11-11,2298,6.33,6.33,6.33,6.33,81469,51569877.0,0.0,10.09,0.58,1.25,,,,,,,
2024-11-12,2298,6.96,5.97,6.96,5.91,1721372,1081075901.04,16.59,-5.69,-0.36,26.33,,,,,,,
2024-11-13,2298,5.98,5.78,6.16,5.65,1036763,614945320.9,8.54,-3.18,-0.19,15.86,,,,,,,
2024-11-14,2298,5.8,5.51,5.86,5.45,814892,456375631.2,7.09,-4.67,-0.27,12.47,,,,,,,
2024-11-15,2298,5.52,5.41,5.65,5.35,592730,326581157.9,5.44,-1.81,-0.1,9.07,,,,,,,
2024-11-18,2298,5.43,5.16,5.48,5.07,492467,256032864.0,7.58,-4.62,-0.25,7.53,,,,,,,
2024-11-19,2298,5.2,5.26,5.26,5.08,349838,180955178.71,3.49,1.94,0.1,5.35,,,,,,,
2024-11-20,2298,5.28,5.48,5.52,5.24,444915,239947940.95,5.32,4.18,0.22,6.81,,,,,,,
2024-11-21,2298,5.48,5.57,5.61,5.39,445507,244571126.8,4.01,1.64,0.09,6.82,,,,,,,
2024-11-22,2298,5.39,5.16,5.48,5.13,543524,289455887.0,6.28,-7.36,-0.41,8.32,,,,,,,
2024-11-25,2298,5.2,5.26,5.36,5.01,373844,193913514.2,6.78,1.94,0.1,5.72,,,,,,,
2024-11-26,2298,5.31,5.38,5.45,5.26,456540,245009761.93,3.61,2.28,0.12,6.98,,,,,,,
2024-11-27,2298,5.33,5.48,5.5,5.15,471997,252267681.18,6.51,1.86,0.1,7.22,,,,,,,
2024-11-28,2298,5.5,5.45,5.6,5.41,453483,250599458.0,3.47,-0.55,-0.03,6.94,,,,,,,
2024-11-29,2298,5.46,5.44,5.51,5.32,347720,188752411.0,3.49,-0.18,-0.01,5.32,,,,,,,
2024-12-02,2298,5.47,5.61,5.61,5.46,403829,224846595.96,2.76,3.13,0.17,6.18,,,,,,,
2024-12-03,2298,5.61,5.75,5.85,5.54,537130,305603867.55,5.53,2.5,0.14,8.22,,,,,,,
2024-12-04,2298,6.33,6.33,6.33,6.0,999734,626426863.66,5.74,10.09,0.58,15.29,,,,,,,
2024-12-05,2298,6.3,6.2,6.65,6.08,1665982,1064995722.46,9.0,-2.05,-0.13,25.49,,,,,,,
2024-12-06,2298,6.21,5.97,6.33,5.92,1124118,679262792.69,6.61,-3.71,-0.23,17.2,,,,,,,
2024-12-09,2298,5.97,6.57,6.57,5.97,630792,402443519.06,10.05,10.05,0.6,9.65,,,,,,,
2024-12-10,2298,6.9,6.53,6.99,6.46,1574409,1051959884.4,8.07,-0.61,-0.04,24.09,,,,,,,
2024-12-11,2298,6.49,6.7,6.97,6.41,1051110,700757420.1,8.58,2.6,0.17,16.08,,,,,,,
2024-12-12,2298,6.57,6.88,7.26,6.57,1097141,757596782.88,10.3,2.69,0.18,16.78,,,,,,,
2024-12-13,2298,6.72,6.48,6.79,6.45,868516,572263081.33,4.94,-5.81,-0.4,13.29,,,,,,,
2024-12-16,2298,6.46,6.4,6.6,6.34,613465,394915951.72,4.01,-1.23,-0.08,9.38,,,,,,,
2024-12-17,2298,6.4,6.04,6.4,5.99,533645,326385318.9,6.41,-5.63,-0.36,8.16,,,,,,,
2024-12-18,2298,6.04,6.03,6.13,5.91,366621,221396175.0,3.64,-0.17,-0.01,5.61,,,,,,,
2024-12-19,2298,5.94,6.1,6.15,5.87,444518,267760612.51,4.64,1.16,0.07,6.8,,,,,,,
2024-12-20,2298,6.12,6.13,6.22,6.07,387337,237969131.12,2.46,0.49,0.03,5.93,,,,,,,
2024-12-23,2298,6.12,5.58,6.19,5.53,553717,319062664.66,10.77,-8.97,-0.55,8.47,,,,,,,
2024-12-24,2298,5.56,5.53,5.65,5.34,428945,235106371.76,5.56,-0.9,-0.05,6.56,,,,,,,
2024-12-25,2298,5.5,5.26,5.56,5.21,351395,186560841.0,6.33,-4.88,-0.27,5.38,,,,,,,
2024-12-26,2298,5.27,5.31,5.37,5.27,243721,129793159.6,1.9,0.95,0.05,3.73,,,,,,,
2024-12-27,2298,5.33,5.48,5.84,5.32,609406,341654696.4,9.79,3.2,0.17,9.32,,,,,,,
2024-12-30,2298,5.58,5.72,5.76,5.38,629257,352389809.4,6.93,4.38,0.24,9.63,,,,,,,
2024-12-31,2298,5.73,5.32,5.73,5.3,479640,262969741.52,7.52,-6.99,-0.4,7.34,,,,,,,
2025-01-02,2298,5.25,5.11,5.42,5.03,421918,219739541.81,7.33,-3.95,-0.21,6.45,,,,,,,
2025-01-03,2298,5.18,4.84,5.18,4.8,386929,190252014.4,7.44,-5.28,-0.27,5.92,,,,,,,
2025-01-06,2298,4.84,4.67,4.84,4.61,268562,126399702.0,4.75,-3.51,-0.17,4.11,,,,,,,
2025-01-07,2298,4.86,4.88,4.89,4.7,278826,133297314.0,4.07,4.5,0.21,4.27,,,,,,,
2025-01-08,2298,4.85,4.89,4.94,4.68,308474,148707267.61,5.33,0.2,0.01,4.72,,,,,,,
2025-01-09,2298,4.83,4.9,4.98,4.81,267352,131569385.0,3.48,0.2,0.01,4.09,,,,,,,
2025-01-10,2298,4.85,4.68,4.94,4.65,254287,122049469.0,5.92,-4.49,-0.22,3.89,,,,,,,
2025-01-13,2298,4.63,4.65,4.66,4.43,204032,93359780.0,4.91,-0.64,-0.03,3.12,,,,,,,
2025-01-14,2298,4.71,4.94,4.95,4.68,296379,143734230.48,5.81,6.24,0.29,4.53,,,,,,,
2025-01-15,2298,4.98,4.95,5.03,4.87,241865,119720809.0,3.24,0.2,0.01,3.7,,,,,,,
2025-01-16,2298,4.99,4.99,5.1,4.91,219153,109563952.97,3.84,0.81,0.04,3.35,,,,,,,
2025-01-17,2298,4.96,4.97,5.03,4.89,184197,91283731.0,2.81,-0.4,-0.02,2.82,,,,,,,
2025-01-20,2298,5.03,5.03,5.09,4.91,239209,120076862.68,3.62,1.21,0.06,3.66,,,,,,,
2025-01-21,2298,5.15,4.97,5.21,4.95,280417,141400644.32,5.17,-1.19,-0.06,4.29,,,,,,,
2025-01-22,2298,4.98,4.95,5.07,4.88,191020,94980305.0,3.82,-0.4,-0.02,2.92,,,,,,,
2025-01-23,2298,4.74,4.68,5.02,4.68,545233,263472928.6,6.87,-5.45,-0.27,8.34,,,,,,,
2025-01-24,2298,4.72,4.77,4.78,4.58,300900,141112543.75,4.27,1.92,0.09,4.6,,,,,,,
2025-01-27,2298,4.9,4.66,4.93,4.65,215675,102362068.42,5.87,-2.31,-0.11,3.3,,,,,,,
2025-02-05,2298,4.73,4.93,4.99,4.72,337721,165796454.0,5.79,5.79,0.27,5.17,,,,,,,
2025-02-06,2298,4.97,5.08,5.08,4.86,260065,129830529.0,4.46,3.04,0.15,3.98,,,,,,,
2025-02-07,2298,5.08,5.2,5.32,5.07,365366,189948672.24,4.92,2.36,0.12,5.59,,,,,,,
2025-02-10,2298,5.21,5.39,5.39,5.21,359903,191374702.96,3.46,3.65,0.19,5.51,,,,,,,
2025-02-11,2298,5.34,5.37,5.44,5.22,314139,167895553.92,4.08,-0.37,-0.02,4.81,,,,,,,
2025-02-12,2298,5.37,5.46,5.58,5.36,348753,191053550.68,4.1,1.68,0.09,5.34,,,,,,,
2025-02-13,2298,5.45,5.56,5.74,5.35,535227,295759789.27,7.14,1.83,0.1,8.19,,,,,,,
2025-02-14,2298,5.6,5.6,5.7,5.45,500474,280060454.41,4.5,0.72,0.04,7.66,,,,,,,
2025-02-17,2298,5.61,5.7,5.85,5.56,440554,249453307.9,5.18,1.79,0.1,6.74,,,,,,,
2025-02-18,2298,5.7,5.63,5.95,5.59,608603,350223495.51,6.32,-1.23,-0.07,9.31,,,,,,,
2025-02-19,2298,5.6,5.63,5.67,5.53,458853,257035716.87,2.49,0.0,0.0,7.02,,,,,,,
2025-02-20,2298,5.59,5.62,5.65,5.55,290166,162506908.0,1.78,-0.18,-0.01,4.44,,,,,,,
2025-02-21,2298,5.68,5.73,5.77,5.58,385341,219385993.88,3.38,1.96,0.11,5.9,,,,,,,
2025-02-24,2298,5.79,5.85,5.93,5.67,552985,320640177.12,4.54,2.09,0.12,8.46,,,,,,,
2025-02-25,2298,5.77,6.44,6.44,5.71,509267,319137821.0,12.48,10.09,0.59,7.79,,,,,,,
2025-02-26,2298,6.49,6.48,6.92,6.14,1769298,1137500571.3,12.11,0.62,0.04,27.07,,,,,,,
2025-02-27,2298,6.5,7.13,7.13,6.5,1391251,945345703.22,9.72,10.03,0.65,21.28,,,,,,,
2025-02-28,2298,7.49,7.84,7.84,6.65,3361112,2528051324.03,16.69,9.96,0.71,51.42,,,,,,,
2025-03-03,2298,7.88,7.06,7.98,7.06,2578490,1901205273.23,11.73,-9.95,-0.78,39.45,,,,,,,
2025-03-04,2298,6.37,6.5,6.79,6.35,2126278,1372098897.1,6.23,-7.93,-0.56,32.53,,,,,,,
2025-03-05,2298,6.42,6.64,6.93,6.41,1615183,1072814943.85,8.0,2.15,0.14,24.71,,,,,,,
2025-03-06,2298,6.55,6.57,6.81,6.4,1588169,1046620225.73,6.17,-1.05,-0.07,24.3,,,,,,,
2025-03-07,2298,6.45,6.25,6.54,6.21,1232979,782266389.28,5.02,-4.87,-0.32,18.86,,,,,,,
2025-03-10,2298,6.26,6.27,6.34,6.18,631624,394096574.2,2.56,0.32,0.02,9.66,,,,,,,
2025-03-11,2298,6.2,6.17,6.26,6.09,629983,388201229.47,2.71,-1.59,-0.1,9.64,,,,,,,
2025-03-12,2298,6.22,6.33,6.39,6.18,855371,539493106.0,3.4,2.59,0.16,13.09,,,,,,,
2025-03-13,2298,6.29,6.08,6.35,6.01,669309,410192401.0,5.37,-3.95,-0.25,10.24,,,,,,,
2025-03-14,2298,6.04,6.1,6.18,5.96,506663,307680504.28,3.62,0.33,0.02,7.75,,,,,,,
2025-03-17,2298,6.05,6.06,6.15,6.04,434519,264185488.12,1.8,-0.66,-0.04,6.65,,,,,,,
2025-03-18,2298,6.1,6.2,6.2,6.08,586275,360101568.28,1.98,2.31,0.14,8.97,,,,,,,
2025-03-19,2298,6.15,6.07,6.17,6.05,418639,255390104.0,1.94,-2.1,-0.13,6.4,,,,,,,
2025-03-20,2298,6.03,6.07,6.14,6.0,381257,231921520.5,2.31,0.0,0.0,5.83,,,,,,,
2025-03-21,2298,6.02,5.87,6.04,5.85,428172,253333553.93,3.13,-3.29,-0.2,6.55,,,,,,,
2025-03-24,2298,5.87,5.59,5.92,5.47,444256,250818399.0,7.67,-4.77,-0.28,6.8,,,,,,,
2025-03-25,2298,5.59,5.57,5.63,5.51,238798,133148558.0,2.15,-0.36,-0.02,3.65,,,,,,,
2025-03-26,2298,5.57,5.62,5.64,5.54,172430,96746419.61,1.8,0.9,0.05,2.64,,,,,,,
2025-03-27,2298,5.61,5.54,5.63,5.48,228076,126744603.0,2.67,-1.42,-0.08,3.49,,,,,,,
2025-03-28,2298,5.54,5.45,5.59,5.45,191904,105491594.0,2.53,-1.62,-0.09,2.94,,,,,,,
