日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票名称,前收盘,复权状态,交易状态,动态市盈率,动态市现率,动态市净率
2024-10-30,603280,20.55,20.53,20.89,20.29,14588,30396375.0,2.92,-0.1,-0.02,5.22,,,,,,,
2024-10-31,603280,20.14,20.39,20.54,20.08,18234,37480775.0,2.24,-0.68,-0.14,6.53,,,,,,,
2024-11-01,603280,20.23,19.62,20.39,19.54,19434,39150027.0,4.17,-3.78,-0.77,6.96,,,,,,,
2024-11-04,603280,19.59,20.16,20.17,19.57,12133,24568849.0,3.06,2.75,0.54,4.34,,,,,,,
2024-11-05,603280,20.12,20.73,20.79,20.02,23514,48766938.0,3.82,2.83,0.57,8.42,,,,,,,
2024-11-06,603280,20.84,20.69,20.86,20.48,19185,40186304.0,1.83,-0.19,-0.04,6.87,,,,,,,
2024-11-07,603280,20.64,20.9,20.93,20.44,14867,31276024.0,2.37,1.01,0.21,5.32,,,,,,,
2024-11-08,603280,21.04,20.7,21.13,20.63,15879,33467388.0,2.39,-0.96,-0.2,5.68,,,,,,,
2024-11-11,603280,20.65,21.13,21.14,20.64,25069,53124640.0,2.42,2.08,0.43,8.97,,,,,,,
2024-11-12,603280,21.12,20.89,21.44,20.75,21361,45658545.0,3.27,-1.14,-0.24,7.64,,,,,,,
2024-11-13,603280,20.79,21.26,21.26,20.5,20772,44051944.0,3.64,1.77,0.37,7.43,,,,,,,
2024-11-14,603280,21.07,20.62,21.24,20.56,15169,32040900.0,3.2,-3.01,-0.64,5.43,,,,,,,
2024-11-15,603280,20.54,20.24,20.85,20.24,13220,27553765.0,2.96,-1.84,-0.38,4.73,,,,,,,
2024-11-18,603280,20.46,19.88,20.46,19.69,15004,30511420.0,3.8,-1.78,-0.36,5.37,,,,,,,
2024-11-19,603280,19.91,20.61,20.62,19.88,15912,32669892.0,3.72,3.67,0.73,5.69,,,,,,,
2024-11-20,603280,20.59,21.37,21.54,20.49,33443,71684204.0,5.09,3.69,0.76,11.97,,,,,,,
2024-11-21,603280,21.48,21.32,21.71,21.02,24234,52307620.0,3.23,-0.23,-0.05,8.67,,,,,,,
2024-11-22,603280,21.31,20.78,22.12,20.77,43088,93480979.0,6.33,-2.53,-0.54,15.42,,,,,,,
2024-11-25,603280,20.99,21.11,21.28,20.74,25192,53644059.0,2.6,1.59,0.33,9.02,,,,,,,
2024-11-26,603280,20.94,20.69,21.2,20.66,17095,36150577.0,2.56,-1.99,-0.42,6.12,,,,,,,
2024-11-27,603280,20.64,21.11,21.11,20.16,17209,36022701.0,4.59,2.03,0.42,6.16,,,,,,,
2024-11-28,603280,21.1,21.17,21.43,21.02,16248,34809918.0,1.94,0.28,0.06,5.82,,,,,,,
2024-11-29,603280,21.17,21.34,21.69,21.14,19172,41503292.0,2.6,0.8,0.17,6.86,,,,,,,
2024-12-02,603280,21.55,22.26,23.44,21.29,62496,141088169.0,10.07,4.31,0.92,22.37,,,,,,,
2024-12-03,603280,22.2,22.04,22.66,21.84,42104,94706064.0,3.68,-0.99,-0.22,15.07,,,,,,,
2024-12-04,603280,21.83,22.46,23.1,21.65,48898,111420180.0,6.58,1.91,0.42,17.5,,,,,,,
2024-12-05,603280,22.3,22.81,23.24,21.97,50332,114798524.0,5.65,1.56,0.35,18.01,,,,,,,
2024-12-06,603280,22.73,23.82,24.67,22.73,65996,160152706.0,8.51,4.43,1.01,23.62,,,,,,,
2024-12-09,603280,23.66,24.35,25.64,23.13,69519,171284278.0,10.54,2.23,0.53,24.88,,,,,,,
2024-12-10,603280,25.04,22.74,25.04,22.74,88926,212358833.0,9.45,-6.61,-1.61,31.83,,,,,,,
2024-12-11,603280,22.84,22.54,22.96,22.18,50018,113580064.0,3.43,-0.88,-0.2,17.9,,,,,,,
2024-12-12,603280,22.39,22.59,23.02,22.32,36444,83249991.0,3.11,0.22,0.05,13.04,,,,,,,
2024-12-13,603280,22.44,22.24,22.61,22.2,22910,51844449.0,1.81,-1.55,-0.35,8.2,,,,,,,
2024-12-16,603280,22.24,22.46,22.89,22.06,26235,59730682.0,3.73,0.99,0.22,9.39,,,,,,,
2024-12-17,603280,22.36,21.4,22.36,21.3,24856,54673531.0,4.72,-4.72,-1.06,8.9,,,,,,,
2024-12-18,603280,21.42,21.45,21.69,21.05,13169,28537738.0,2.99,0.23,0.05,4.71,,,,,,,
2024-12-19,603280,21.26,21.6,21.68,21.09,11004,23854612.0,2.75,0.7,0.15,3.94,,,,,,,
2024-12-20,603280,21.74,21.78,21.96,21.35,10759,23732266.0,2.82,0.83,0.18,3.85,,,,,,,
2024-12-23,603280,21.78,20.85,21.93,20.75,17846,38251603.0,5.42,-4.27,-0.93,6.39,,,,,,,
2024-12-24,603280,20.84,21.06,21.11,20.49,10865,22934076.0,2.97,1.01,0.21,3.89,,,,,,,
2024-12-25,603280,20.95,20.47,20.95,20.17,10384,21543011.0,3.7,-2.8,-0.59,3.72,,,,,,,
2024-12-26,603280,20.59,21.0,21.22,20.48,11303,24045674.0,3.62,2.59,0.53,4.05,,,,,,,
2024-12-27,603280,20.97,21.09,21.22,20.97,7305,15622736.0,1.19,0.43,0.09,2.61,,,,,,,
2024-12-30,603280,21.07,20.96,21.07,20.54,7146,15098928.0,2.51,-0.62,-0.13,2.56,,,,,,,
2024-12-31,603280,21.02,20.62,21.1,20.57,8515,17900323.0,2.53,-1.62,-0.34,3.05,,,,,,,
2025-01-02,603280,20.64,20.12,20.89,19.99,12574,25958959.0,4.36,-2.42,-0.5,4.5,,,,,,,
2025-01-03,603280,20.12,19.36,20.23,19.32,10744,21424482.0,4.52,-3.78,-0.76,3.85,,,,,,,
2025-01-06,603280,19.39,19.6,19.78,18.95,7176,14132595.0,4.29,1.24,0.24,2.57,,,,,,,
2025-01-07,603280,19.56,20.12,20.14,19.48,7661,15426356.0,3.37,2.65,0.52,2.74,,,,,,,
2025-01-08,603280,20.11,20.09,20.19,19.59,7289,14720097.0,2.98,-0.15,-0.03,2.61,,,,,,,
2025-01-09,603280,19.94,20.09,20.22,19.78,4819,9814949.0,2.19,0.0,0.0,1.72,,,,,,,
2025-01-10,603280,20.15,19.74,20.37,19.71,6129,12421744.0,3.29,-1.74,-0.35,2.19,,,,,,,
2025-01-13,603280,19.46,19.74,19.94,19.21,6186,12294633.0,3.7,0.0,0.0,2.21,,,,,,,
2025-01-14,603280,19.79,21.74,21.74,19.79,41184,88326709.0,9.88,10.13,2.0,14.74,,,,,,,
2025-01-15,603280,21.74,21.25,21.79,20.94,42529,91679178.0,3.91,-2.25,-0.49,15.22,,,,,,,
2025-01-16,603280,20.54,21.0,21.39,20.54,30551,64918984.0,4.0,-1.18,-0.25,10.93,,,,,,,
2025-01-17,603280,20.85,21.05,21.42,20.81,24011,51435187.0,2.9,0.24,0.05,8.59,,,,,,,
2025-01-20,603280,21.07,21.5,21.54,20.85,22300,48099882.0,3.28,2.14,0.45,7.98,,,,,,,
2025-01-21,603280,21.59,21.39,21.59,21.19,15998,34544177.0,1.86,-0.51,-0.11,5.73,,,,,,,
2025-01-22,603280,21.32,21.09,21.38,21.07,9652,20698008.0,1.45,-1.4,-0.3,3.45,,,,,,,
2025-01-23,603280,21.32,20.96,21.57,20.96,11661,25127855.0,2.89,-0.62,-0.13,4.17,,,,,,,
2025-01-24,603280,20.96,21.44,21.45,20.9,18173,39189000.0,2.62,2.29,0.48,6.5,,,,,,,
2025-01-27,603280,21.44,21.58,21.76,21.31,16092,35179108.0,2.1,0.65,0.14,5.76,,,,,,,
2025-02-05,603280,21.65,21.89,22.26,21.3,23240,50993004.0,4.45,1.44,0.31,8.32,,,,,,,
2025-02-06,603280,21.75,24.11,24.11,21.75,94805,224242815.0,10.78,10.14,2.22,33.93,,,,,,,
2025-02-07,603280,24.11,23.17,24.11,23.04,103425,243539938.0,4.44,-3.9,-0.94,37.01,,,,,,,
2025-02-10,603280,22.94,22.71,22.94,22.5,55804,127773484.0,1.9,-1.99,-0.46,19.97,,,,,,,
2025-02-11,603280,22.71,23.02,23.03,22.45,49696,114319686.0,2.55,1.37,0.31,17.79,,,,,,,
2025-02-12,603280,22.86,22.93,23.37,22.61,40277,93278285.0,3.3,-0.39,-0.09,14.41,,,,,,,
2025-02-13,603280,23.24,22.84,23.71,22.77,52445,123630616.0,4.1,-0.39,-0.09,18.77,,,,,,,
2025-02-14,603280,22.95,23.18,25.15,22.86,60873,145289914.0,10.03,1.49,0.34,21.79,,,,,,,
2025-02-17,603280,22.62,23.52,23.79,22.25,59146,137332854.0,6.64,1.47,0.34,21.17,,,,,,,
2025-02-18,603280,23.12,23.9,25.54,22.81,78973,191898033.0,11.61,1.62,0.38,28.26,,,,,,,
2025-02-19,603280,23.74,24.94,25.09,23.74,82289,204458982.0,5.65,4.35,1.04,29.45,,,,,,,
2025-02-20,603280,24.59,24.55,25.22,24.02,59310,147574441.0,4.81,-1.56,-0.39,21.23,,,,,,,
2025-02-21,603280,24.29,24.51,24.59,23.74,54082,131736583.0,3.46,-0.16,-0.04,19.36,,,,,,,
2025-02-24,603280,24.24,25.37,26.12,23.9,67890,171870465.0,9.06,3.51,0.86,24.3,,,,,,,
2025-02-25,603280,24.89,24.15,24.89,24.13,48897,120900704.0,3.0,-4.81,-1.22,17.5,,,,,,,
2025-02-26,603280,23.96,24.02,24.29,23.84,31342,76190510.0,1.86,-0.54,-0.13,11.22,,,,,,,
2025-02-27,603280,24.05,23.64,24.23,23.24,30527,72934765.0,4.12,-1.58,-0.38,10.93,,,,,,,
2025-02-28,603280,23.64,23.05,24.04,23.03,28354,67144414.0,4.27,-2.5,-0.59,10.15,,,,,,,
2025-03-03,603280,22.9,23.46,24.12,22.83,34281,81846976.0,5.6,1.78,0.41,12.27,,,,,,,
2025-03-04,603280,22.99,23.16,23.49,22.9,28854,67604593.0,2.51,-1.28,-0.3,10.33,,,,,,,
2025-03-05,603280,23.16,24.21,24.32,23.16,47698,115466157.0,5.01,4.53,1.05,17.07,,,,,,,
2025-03-06,603280,24.04,24.0,24.18,23.7,38815,94053936.0,1.98,-0.87,-0.21,13.89,,,,,,,
2025-03-07,603280,23.86,24.03,24.32,23.79,29191,70902106.0,2.21,0.13,0.03,10.45,,,,,,,
2025-03-10,603280,24.07,24.17,24.72,23.92,29109,71322343.0,3.33,0.58,0.14,10.42,,,,,,,
2025-03-11,603280,23.93,23.87,24.28,23.66,22709,54811101.0,2.57,-1.24,-0.3,8.13,,,,,,,
2025-03-12,603280,23.99,23.59,24.14,23.55,19811,47403297.0,2.47,-1.17,-0.28,7.09,,,,,,,
2025-03-13,603280,23.54,23.47,23.67,23.04,18085,42721839.0,2.67,-0.51,-0.12,6.47,,,,,,,
2025-03-14,603280,23.74,23.84,24.16,23.36,22450,53859220.0,3.41,1.58,0.37,8.03,,,,,,,
2025-03-17,603280,23.99,24.3,24.72,23.85,31730,78117503.0,3.65,1.93,0.46,11.36,,,,,,,
2025-03-18,603280,24.26,25.14,25.14,24.07,56082,140176482.0,4.4,3.46,0.84,20.07,,,,,,,
2025-03-19,603280,24.85,25.15,25.21,24.44,41602,104490989.0,3.06,0.04,0.01,14.89,,,,,,,
2025-03-20,603280,26.24,25.19,27.69,24.75,104928,276671224.0,11.69,0.16,0.04,37.55,,,,,,,
2025-03-21,603280,24.7,27.74,27.74,24.46,92157,249020109.0,13.02,10.12,2.55,32.98,,,,,,,
2025-03-24,603280,30.52,30.54,30.54,29.55,57733,177117568.0,3.57,10.09,2.8,20.66,,,,,,,
2025-03-25,603280,29.74,27.46,32.07,27.46,174937,517676859.0,15.09,-10.09,-3.08,62.61,,,,,,,
2025-03-26,603280,25.79,26.64,27.62,25.54,121932,325127421.0,7.57,-2.99,-0.82,43.64,,,,,,,
2025-03-27,603280,26.54,24.92,27.4,24.84,98603,254364180.0,9.61,-6.46,-1.72,35.29,,,,,,,
2025-03-28,603280,24.4,23.63,24.77,23.46,73171,177016507.0,5.26,-5.18,-1.29,26.19,,,,,,,
2025-03-31,603280,24.0,23.39,24.26,22.94,52081,123086353.0,5.59,-1.02,-0.24,18.64,,,,,,,
2025-04-01,603280,23.19,23.57,23.89,23.19,40894,97595843.0,2.99,0.77,0.18,14.64,,,,,,,
2025-04-02,603280,23.4,23.65,23.99,23.27,37946,90890166.0,3.05,0.34,0.08,13.58,,,,,,,
2025-04-03,603280,23.37,23.26,23.66,23.03,30604,72156611.0,2.66,-1.65,-0.39,10.95,,,,,,,
2025-04-07,603280,21.74,20.91,21.96,20.91,30742,65605095.0,4.51,-10.1,-2.35,11.0,,,,,,,
2025-04-08,603280,20.48,20.16,20.9,19.76,43756,89819529.0,5.45,-3.59,-0.75,15.66,,,,,,,
2025-04-09,603280,19.94,20.96,21.12,18.44,42535,86637597.0,13.29,3.97,0.8,15.22,,,,,,,
2025-04-10,603280,21.22,21.5,21.89,21.22,33513,73267403.0,3.2,2.58,0.54,11.99,,,,,,,
2025-04-11,603280,21.24,21.75,22.03,21.14,24516,54006568.0,4.14,1.16,0.25,8.77,,,,,,,
2025-04-14,603280,21.84,22.32,22.41,21.84,22867,51444448.0,2.62,2.62,0.57,8.18,,,,,,,
2025-04-15,603280,22.32,22.81,22.93,21.95,31337,71275531.0,4.39,2.2,0.49,11.22,,,,,,,
2025-04-16,603280,22.83,21.94,22.83,21.83,27621,62050319.0,4.38,-3.81,-0.87,9.89,,,,,,,
2025-04-17,603280,21.81,22.08,22.31,21.79,19480,43702872.0,2.37,0.64,0.14,6.97,,,,,,,
2025-04-18,603280,22.08,21.93,22.3,21.71,19728,43807138.0,2.67,-0.68,-0.15,7.06,,,,,,,
2025-04-21,603280,21.93,22.13,22.2,21.72,12030,26848678.0,2.19,0.91,0.2,4.31,,,,,,,
2025-04-22,603280,22.11,22.31,22.36,21.96,14317,32104514.0,1.81,0.81,0.18,5.12,,,,,,,
2025-04-23,603280,22.51,22.78,22.92,22.3,25494,58646201.0,2.78,2.11,0.47,9.12,,,,,,,
2025-04-24,603280,22.74,22.34,22.74,22.15,16773,38036653.0,2.59,-1.93,-0.44,6.0,,,,,,,
2025-04-25,603280,22.39,24.6,24.6,22.21,64422,155192319.0,10.7,10.12,2.26,23.06,,,,,,,
2025-04-28,603280,27.09,25.33,27.09,23.85,147472,383605868.0,13.17,2.97,0.73,52.78,,,,,,,
2025-04-29,603280,22.77,23.64,24.2,22.77,102142,243530545.0,5.65,-6.67,-1.69,36.56,,,,,,,
2025-04-30,603280,23.64,24.26,25.24,23.16,97304,236566257.0,8.8,2.62,0.62,34.82,,,,,,,
