ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
513080,法国CAC40ETF,1.761,1.7211,-2.32,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513000,日经225ETF易方达,1.761,1.7312,-1.72,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513880,日经225ETF,1.654,1.6079,-2.87,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159830,上海金ETF,9.505,9.4985,-0.07,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159937,黄金ETF基金,9.111,9.1062,-0.05,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159866,日经ETF,1.309,1.3031,-0.45,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159934,黄金ETF,9.533,9.5252,-0.08,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159831,上海金ETF嘉实,9.215,9.2138,-0.01,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159834,金ETF,9.518,9.5113,-0.07,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518660,黄金ETF基金,9.125,9.1224,-0.03,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518680,金ETF,9.525,9.5193,-0.06,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159793,线上消费ETF基金,1.082,1.0815,-0.05,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159812,黄金基金ETF,9.087,9.0903,0.04,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518860,黄金ETFAU,9.144,9.1463,0.03,2025-10-15 11:00:23+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159509,纳指科技ETF,2.06,1.8201,-13.18,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513800,日本东证指数ETF,1.607,1.6137,0.42,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518800,黄金基金ETF,9.015,9.0143,-0.01,2025-10-15 11:00:23+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513520,日经ETF,1.746,1.7405,-0.32,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518890,中银上海金ETF,9.137,9.1416,0.05,2025-10-15 11:00:23+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518880,黄金ETF,9.126,9.1239,-0.02,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513750,港股通非银ETF,1.644,1.6374,-0.4,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518850,黄金ETF华夏,9.183,9.1796,-0.04,2025-10-15 11:00:22+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
515120,创新药ETF,0.678,0.678,0.0,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
589120,科创创新药ETF汇添富,0.867,0.8666,-0.05,2025-10-15 11:00:17+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
518600,上海金ETF,9.511,9.5048,-0.07,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
589720,科创创新药ETF国泰,0.933,0.9324,-0.06,2025-10-15 11:00:18+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159542,工程机械ETF,1.369,1.3626,-0.47,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
561920,疫苗龙头ETF,0.765,0.7651,0.01,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513770,港股互联网ETF,0.599,0.597,-0.34,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159645,疫苗ETF富国,0.734,0.7343,0.04,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
562860,生物疫苗ETF,0.733,0.7331,0.01,2025-10-15 11:00:20+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
516060,创新药产业ETF,0.623,0.6229,-0.02,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159835,创新药50ETF,0.706,0.7046,-0.2,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
516080,创新药ETF易方达,0.709,0.7099,0.13,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159366,港股医疗ETF,1.576,1.5786,0.16,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159858,创新药ETF南方,0.717,0.7166,-0.06,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159556,中证2000ETF增强,1.164,1.1605,-0.3,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159776,港股通医药ETF,1.331,1.3277,-0.25,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
520510,港股通医疗ETF,1.033,1.0341,0.11,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513070,港股消费ETF易方达,1.41,1.4061,-0.28,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159745,建材ETF,0.669,0.6684,-0.09,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
516930,生物科技ETF基金,0.554,0.5533,-0.13,2025-10-15 11:00:23+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159992,创新药ETF,0.904,0.9046,0.07,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513290,纳指生物科技ETF,1.329,1.3217,-0.55,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
588130,科创医药ETF基金,1.175,1.1742,-0.07,2025-10-15 11:00:21+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159312,恒生ETF港股通,1.263,1.2619,-0.09,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
560280,工程机械ETF,1.542,1.5399,-0.14,2025-10-15 11:00:23+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159508,生物医药ETF基金,0.879,0.8786,-0.05,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
517550,消费ETF沪港深,0.807,0.8045,-0.31,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
561780,1000增强ETF,1.435,1.4322,-0.2,2025-10-15 11:00:22+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513050,中概互联网ETF,1.617,1.5981,-1.18,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159787,建材ETF易方达,0.732,0.7323,0.04,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
517880,品牌消费ETF,0.917,0.9148,-0.24,2025-10-15 11:00:20+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
516750,建材ETF,0.732,0.7318,-0.03,2025-10-15 11:00:22+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513230,港股消费ETF,1.107,1.1064,-0.05,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159821,BOCI创业板ETF,1.111,1.109,-0.18,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159687,亚太精选ETF,1.54,1.514,-1.72,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
512120,医药50ETF,0.488,0.4878,-0.04,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513040,港股通互联网ETF,1.589,1.5845,-0.28,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159268,港股通消费50ETF,1.0,0.9942,-0.58,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
588860,科创医药ETF,1.504,1.5043,0.02,2025-10-15 11:00:17+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159318,恒生港股通ETF,1.398,1.3998,0.13,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
562510,旅游ETF,0.712,0.7127,0.1,2025-10-15 11:00:19+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513980,港股科技50ETF,0.814,0.8094,-0.57,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159960,恒生中国企业ETF,0.931,0.9322,0.13,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159941,纳指ETF,1.344,1.3109,-2.52,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159269,港股通科技ETF南方,1.143,1.1375,-0.48,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
517120,创新药ETF华泰柏瑞,0.732,0.7297,-0.32,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159237,港股汽车ETF基金,1.143,1.1378,-0.46,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159750,港股科技50ETF,1.14,1.1318,-0.72,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159561,德国ETF,1.363,1.3487,-1.06,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159636,港股通科技30ETF,1.473,1.4688,-0.29,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
510770,G60创新ETF,0.739,0.7372,-0.24,2025-10-15 11:00:29+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159280,港股通互联网ETF汇添富,1.06,1.062,0.19,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159751,港股科技ETF,1.165,1.1624,-0.22,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159365,恒指ETF,1.07,1.0675,-0.23,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
562520,中证1000成长ETF,1.287,1.2744,-0.99,2025-10-15 11:00:20+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159788,港股通100ETF,1.391,1.3931,0.15,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159735,港股消费ETF,0.858,0.8571,-0.11,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159605,中概互联ETF,1.186,1.1767,-0.79,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159916,深F60ETF,5.25,5.2322,-0.34,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159837,生物科技ETF,0.539,0.5389,-0.02,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513400,道琼斯ETF,1.193,1.1877,-0.45,2025-10-15 11:00:28+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
560900,创新药企ETF,0.976,0.9761,0.01,2025-10-15 11:00:21+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159643,疫苗ETF,0.649,0.6486,-0.06,2025-10-15 11:00:21+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
520620,港股通消费ETF,0.977,0.9722,-0.49,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513900,港股通100ETF,1.098,1.097,-0.09,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513590,香港消费ETF,0.991,0.9903,-0.07,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513990,港股通ETF,1.217,1.209,-0.66,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159685,1000增强ETF天弘,1.337,1.3336,-0.25,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513300,纳斯达克ETF,2.225,2.1918,-1.51,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
510380,国寿300ETF,1.337,1.33,-0.53,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159568,港股互联网ETF,1.907,1.9084,0.07,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
515950,医药龙头ETF,1.004,1.0044,0.04,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
562030,信创ETF基金,0.559,0.5564,-0.47,2025-10-15 11:00:21+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159291,创业板综增强ETF招商,1.025,1.025,0.0,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
520520,恒生消费ETF华泰柏瑞,1.139,1.1387,-0.03,2025-10-15 11:00:24+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159741,恒生科技ETF嘉实,0.794,0.7907,-0.42,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
517360,沪港深科技ETF,1.153,1.1527,-0.03,2025-10-15 11:00:19+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513550,港股通50ETF,1.163,1.162,-0.09,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
560590,1000ETF增强,1.402,1.3963,-0.41,2025-10-15 11:00:21+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513700,香港医药ETF,0.706,0.7049,-0.16,2025-10-15 11:00:25+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159766,旅游ETF,0.705,0.706,0.14,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159850,恒生国企ETF,0.934,0.9373,0.35,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159699,恒生消费ETF,1.061,1.0577,-0.31,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159607,中概互联网ETF,1.185,1.1733,-1.0,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159657,疫苗ETF鹏华,0.711,0.7108,-0.03,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
520940,港股通恒生ETF,1.072,1.073,0.09,2025-10-15 11:00:22+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
560820,中证A50ETF新华,1.185,1.1814,-0.3,2025-10-15 11:00:23+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513190,港股通金融ETF,1.684,1.6816,-0.14,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159619,基建ETF,1.086,1.0864,0.04,2025-10-15 11:00:36+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
588250,科创生物医药ETF,1.195,1.1945,-0.04,2025-10-15 11:00:17+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513280,恒生生物科技ETF,1.221,1.2165,-0.37,2025-10-15 11:00:26+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159743,湖北ETF,1.098,1.0933,-0.43,2025-10-15 11:00:33+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159929,医药ETF,1.456,1.4558,-0.01,2025-10-15 11:00:30+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
520720,香港汽车ETF,0.984,0.983,-0.1,2025-10-15 11:00:22+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513890,恒生科技HKETF,1.223,1.22,-0.25,2025-10-15 11:00:28+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159502,标普生物科技ETF,1.111,1.1048,-0.56,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513660,恒生ETF,3.192,3.1907,-0.04,2025-10-15 11:00:27+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
159281,港股通央企红利ETF天弘,0.991,0.9869,-0.42,2025-10-15 11:00:39+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
513220,中概互联ETF,1.383,1.3694,-0.99,2025-10-15 11:00:28+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
588700,科创医药ETF嘉实,1.134,1.1352,0.11,2025-10-15 11:00:18+08:00,2025-10-15 11:00:15,2025-10-15 11:00:42
