ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
513310,中韩半导体ETF,2.504,2.4602,-1.78,2025-10-09 10:56:16+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159315,黄金股ETF基金,1.75,1.7449,-0.29,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
517400,黄金股票ETF,1.686,1.6814,-0.27,2025-10-09 10:56:14+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
517520,黄金股ETF,2.132,2.1287,-0.16,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159321,黄金股票ETF,1.634,1.6314,-0.16,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159322,黄金股票ETF基金,1.732,1.7265,-0.32,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159562,黄金股ETF,2.324,2.3175,-0.28,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159690,矿业ETF,1.788,1.7806,-0.42,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
561220,数字经济ETF工银,1.592,1.5907,-0.08,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588810,科创芯片ETF富国,1.913,1.9107,-0.12,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159389,数字经济ETF嘉实,1.592,1.588,-0.25,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588200,科创芯片ETF,2.722,2.7219,0.0,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588890,科创芯片ETF南方,3.06,3.0591,-0.03,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
561330,矿业ETF,1.744,1.7391,-0.28,2025-10-09 10:56:11+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
513290,纳指生物科技ETF,1.33,1.3303,0.02,2025-10-09 10:56:16+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588290,科创芯片ETF基金,2.658,2.656,-0.08,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588990,科创芯片ETF博时,2.819,2.8188,-0.01,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588750,科创芯片50ETF,1.818,1.8161,-0.1,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
513880,日经225ETF,1.679,1.6307,-2.96,2025-10-09 10:56:14+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159385,数字经济ETF富国,1.593,1.5929,-0.01,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159502,标普生物科技ETF,1.111,1.1105,-0.05,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159652,有色50ETF,1.523,1.5197,-0.22,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
512400,有色金属ETF,1.75,1.746,-0.23,2025-10-09 10:56:15+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159876,有色龙头ETF,0.904,0.9032,-0.09,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588770,科创信息技术ETF摩根,1.593,1.5919,-0.07,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
589100,科创芯片ETF国泰,1.741,1.7414,0.02,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
516650,有色金属ETF基金,1.718,1.7159,-0.12,2025-10-09 10:56:15+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
516920,芯片50ETF,1.187,1.1819,-0.43,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
560860,工业有色ETF,1.414,1.4122,-0.13,2025-10-09 10:56:10+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159599,芯片ETF基金,2.355,2.3509,-0.17,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588260,科创信息ETF,2.185,2.1854,0.02,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159880,有色ETF基金,1.778,1.7753,-0.15,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588920,科创芯片ETF指数,1.743,1.7433,0.02,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588100,科创信息技术ETF,2.21,2.2152,0.23,2025-10-09 10:56:11+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159871,有色金属ETF,1.767,1.7632,-0.22,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159881,有色60ETF,1.69,1.6899,-0.01,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588710,科创半导体设备ETF,1.646,1.6487,0.16,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159665,半导体龙头ETF,2.054,2.0494,-0.22,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159310,芯片ETF天弘,2.359,2.3537,-0.23,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588720,科创50ETF中银,1.584,1.5808,-0.2,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159801,芯片ETF龙头,0.992,0.9908,-0.12,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159995,芯片ETF,1.997,1.9918,-0.26,2025-10-09 10:56:18+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
561980,半导体设备ETF,2.193,2.1954,0.11,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159813,半导体ETF,1.275,1.273,-0.16,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159537,信创ETF,1.751,1.7447,-0.36,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588170,科创半导体ETF,1.599,1.6002,0.07,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
589020,科创半导体ETF鹏华,1.291,1.2957,0.36,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159560,芯片ETF景顺,1.892,1.8921,0.01,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588180,科创50ETF基金,1.016,1.0152,-0.08,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
516350,芯片ETF易方达,1.36,1.3594,-0.04,2025-10-09 10:56:12+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588840,科创板50ETF基金,1.445,1.4458,0.06,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
512480,半导体ETF,1.658,1.6579,-0.01,2025-10-09 10:56:17+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588950,科创50ETF景顺,1.62,1.6187,-0.08,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588000,科创50ETF,1.651,1.6524,0.08,2025-10-09 10:56:10+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588050,科创ETF,1.613,1.6153,0.14,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588080,科创板50ETF,1.616,1.6159,-0.01,2025-10-09 10:56:10+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588060,科创50ETF龙头,1.003,1.0029,-0.01,2025-10-09 10:56:10+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
512760,芯片ETF,1.849,1.8526,0.19,2025-10-09 10:56:16+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588090,科创板ETF,1.615,1.6166,0.1,2025-10-09 10:56:10+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588870,科创50指数ETF,1.603,1.6039,0.06,2025-10-09 10:56:06+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588940,科创50ETF富国,1.604,1.6042,0.01,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588150,科创50ETF南方,1.104,1.1051,0.1,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
516640,芯片龙头ETF,1.212,1.214,0.16,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159540,信创ETF易方达,1.819,1.821,0.11,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159325,半导体ETF南方,1.709,1.7028,-0.36,2025-10-09 10:56:18+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159546,集成电路ETF,2.115,2.1072,-0.37,2025-10-09 10:56:12+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
562820,集成电路ETF,2.607,2.6033,-0.14,2025-10-09 10:56:10+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
562800,稀有金属ETF,0.848,0.8481,0.01,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159582,半导体产业ETF,2.4,2.4028,0.12,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
515320,电子50ETF,1.363,1.3594,-0.26,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588040,科创50ETF指数,1.6,1.6041,0.26,2025-10-09 10:56:11+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
589850,科创50ETF东财,1.492,1.493,0.07,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588280,科创50ETF指数基金,1.134,1.1352,0.11,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159671,稀有金属ETF基金,1.182,1.1825,0.04,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159608,稀有金属ETF,0.974,0.9746,0.06,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159538,信创ETF富国,1.762,1.7643,0.13,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588460,科创50增强ETF,1.854,1.8534,-0.03,2025-10-09 10:56:07+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
513000,日经225ETF易方达,1.757,1.7548,-0.13,2025-10-09 10:56:14+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
513520,日经ETF,1.759,1.7601,0.06,2025-10-09 10:56:16+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159539,信创ETF广发,1.726,1.7308,0.28,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588450,科创50ETF增强,1.969,1.9688,-0.01,2025-10-09 10:56:08+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159516,半导体设备ETF,1.635,1.6364,0.09,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
516260,物联网50ETF,1.295,1.2875,-0.58,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
517850,张江ETF,1.352,1.3357,-1.22,2025-10-09 10:56:11+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
588370,科创50增强ETF南方,1.61,1.6113,0.08,2025-10-09 10:56:09+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159866,日经ETF,1.314,1.3169,0.22,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
561800,稀有金属ETF基金,0.902,0.902,0.0,2025-10-09 10:56:11+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159558,半导体设备ETF易方达,1.909,1.9077,-0.07,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159997,电子ETF,1.817,1.8138,-0.18,2025-10-09 10:56:18+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
518890,中银上海金ETF,8.735,8.7428,0.09,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
518880,黄金ETF,8.711,8.7254,0.17,2025-10-09 10:56:13+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159812,黄金基金ETF,8.69,8.6967,0.08,2025-10-09 10:56:21+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
518800,黄金基金ETF,8.609,8.6266,0.2,2025-10-09 10:56:11+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
159327,半导体设备ETF基金,1.932,1.934,0.1,2025-10-09 10:56:24+08:00,2025-10-09 10:56:05,2025-10-09 10:56:29
