ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
159880,有色ETF基金,1.57,1.5719,0.12,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516010,游戏ETF,1.673,1.6722,-0.05,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159511,通信ETF南方,1.757,1.7586,0.09,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159821,BOCI创业板ETF,1.22,1.2155,-0.37,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588660,科创创业50ETF基金,1.574,1.5755,0.1,2025-09-25 10:59:10+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159367,创业板50ETF华夏,1.616,1.6153,-0.04,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159690,矿业ETF,1.554,1.5576,0.23,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159869,游戏ETF,1.684,1.6845,0.03,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159709,物联网ETF工银,1.386,1.3806,-0.39,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562010,绿色能源ETF,0.966,0.9631,-0.3,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159383,创业板50ETF华泰柏瑞,1.591,1.5904,-0.04,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159967,创业板成长ETF,0.619,0.6187,-0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516650,有色金属ETF基金,1.505,1.5079,0.19,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159725,线上消费ETF,1.02,1.0184,-0.16,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
517800,人工智能50ETF,1.106,1.1059,-0.01,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159688,恒生互联网ETF,1.244,1.2424,-0.13,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562930,软件ETF易方达,0.986,0.9838,-0.22,2025-09-25 10:59:14+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515230,软件ETF,0.985,0.9837,-0.13,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159369,创业板50ETF易方达,1.3,1.2985,-0.12,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515980,人工智能ETF,1.845,1.8455,0.03,2025-09-25 10:59:17+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159991,创大盘ETF,0.765,0.7646,-0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159810,创业板ETF浦银,1.304,1.3012,-0.22,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588320,双创50ETF增强,1.491,1.488,-0.2,2025-09-25 10:59:13+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560360,软件指数ETF,1.683,1.6819,-0.07,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159373,创业板50ETF嘉实,1.636,1.6357,-0.02,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159695,通信ETF,2.0,1.999,-0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159370,创50ETF工银,1.688,1.6857,-0.14,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159608,稀有金属ETF,0.868,0.8684,0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159871,有色金属ETF,1.556,1.557,0.06,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
517770,游戏传媒ETF,1.328,1.3281,0.01,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159667,工业母机ETF,1.566,1.5632,-0.18,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159773,创业板科技ETF,1.152,1.1511,-0.08,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560550,碳中和ETF龙头,0.977,0.9754,-0.16,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
561190,双碳ETF,0.975,0.974,-0.1,2025-09-25 10:59:16+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159899,软件龙头ETF,0.982,0.9821,0.01,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159876,有色龙头ETF,0.796,0.7964,0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159856,互联网龙头ETF,0.896,0.8973,0.14,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159202,恒生互联网科技ETF,1.316,1.3171,0.08,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159371,创业板50ETF富国,1.6,1.6014,0.09,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
513330,恒生互联网ETF,0.614,0.6143,0.05,2025-09-25 10:59:20+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
517200,互联网ETF,0.905,0.9063,0.14,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560060,碳中和ETF,0.954,0.9534,-0.06,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159949,创业板50ETF,1.537,1.5364,-0.04,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159671,稀有金属ETF基金,1.053,1.0536,0.06,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159881,有色60ETF,1.491,1.492,0.07,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159729,互联网ETF,1.062,1.0626,0.06,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159663,机床ETF,1.552,1.5472,-0.31,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
520600,港股汽车ETF,1.365,1.3666,0.12,2025-09-25 10:59:19+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159298,创业板50ETF大成,1.127,1.1286,0.14,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159256,创业板软件ETF华夏,1.134,1.1332,-0.07,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159682,创业50ETF,1.49,1.4915,0.1,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159777,创科技ETF,1.096,1.096,0.0,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
561010,软件ETF基金,1.25,1.249,-0.08,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159956,创业板ETF建信,2.049,2.0479,-0.05,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159980,有色ETF,1.749,1.7473,-0.1,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
562800,稀有金属ETF,0.755,0.7554,0.05,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159372,创业板50ETF万家,1.705,1.7074,0.14,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
516070,低碳ETF易方达,0.603,0.6037,0.12,2025-09-25 10:59:18+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
588930,科创板人工智能ETF,1.71,1.7107,0.04,2025-09-25 10:59:11+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159681,创50ETF,1.506,1.5088,0.19,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
589520,科创人工智能ETF华宝,0.657,0.6567,-0.05,2025-09-25 10:59:11+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159597,创业板成长ETF易方达,2.019,2.0144,-0.23,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159640,碳中和龙头ETF,0.963,0.9637,0.07,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159107,创业板软件ETF富国,1.017,1.0199,0.28,2025-09-25 10:59:33+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159852,软件ETF,0.965,0.9646,-0.04,2025-09-25 10:59:24+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
560990,中金科技先锋ETF,1.218,1.2158,-0.18,2025-09-25 10:59:15+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
515050,5G通信ETF,2.191,2.1911,0.0,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159778,工业互联ETF,1.178,1.176,-0.17,2025-09-25 10:59:21+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
159642,碳中和100ETF,0.974,0.9733,-0.07,2025-09-25 10:59:27+08:00,2025-09-25 10:59:12,2025-09-25 10:59:35
