ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
159562,黄金股ETF,2.091,2.0747,-0.79,2025-09-09 11:01:03+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
517400,黄金股票ETF,1.509,1.5003,-0.58,2025-09-09 11:00:53+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
159321,黄金股票ETF,1.464,1.463,-0.07,2025-09-09 11:01:03+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
517520,黄金股ETF,1.908,1.903,-0.26,2025-09-09 11:00:54+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
513090,香港证券ETF,2.307,2.2891,-0.78,2025-09-09 11:00:56+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
561330,矿业ETF,1.508,1.5058,-0.15,2025-09-09 11:00:53+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
159876,有色龙头ETF,0.792,0.7907,-0.16,2025-09-09 11:00:51+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
159652,有色50ETF,1.32,1.3184,-0.12,2025-09-09 11:01:03+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
513750,港股通非银ETF,1.717,1.71,-0.41,2025-09-09 11:00:58+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
512400,有色金属ETF,1.54,1.5393,-0.05,2025-09-09 11:00:59+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
159880,有色ETF基金,1.553,1.5507,-0.15,2025-09-09 11:01:00+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
159871,有色金属ETF,1.545,1.546,0.06,2025-09-09 11:01:00+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
159101,港股通科技ETF基金,1.037,1.0351,-0.18,2025-09-09 11:01:06+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
516650,有色金属ETF基金,1.49,1.4899,-0.01,2025-09-09 11:00:52+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
513040,港股通互联网ETF,1.614,1.6085,-0.34,2025-09-09 11:00:57+08:00,2025-09-09 11:00:50,2025-09-09 11:01:09
