ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间
159691,港股红利ETF,1.295,1.2905,-0.35,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159993,证券ETF龙头,1.336,1.336,0.0,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
515710,食品ETF,0.634,0.6345,0.08,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
515170,食品饮料ETF,0.596,0.5962,0.03,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159607,中概互联网ETF,1.126,1.1343,0.73,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159605,中概互联ETF,1.126,1.1392,1.16,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
513970,恒生消费ETF,1.019,1.021,0.2,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
510720,红利国企ETF,0.962,0.9637,0.18,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
515300,300红利低波ETF,1.366,1.3664,0.03,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159928,消费ETF,0.855,0.8555,0.06,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159825,农业ETF,0.783,0.7837,0.09,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
512690,酒ETF,0.609,0.6091,0.02,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
515180,红利ETF易方达,1.41,1.4111,0.08,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
516970,基建50ETF,1.136,1.135,-0.09,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
515080,中证红利ETF,1.562,1.5636,0.1,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
513630,港股红利指数ETF,1.523,1.5294,0.42,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
159980,有色ETF,1.708,1.7101,0.12,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159699,恒生消费ETF,1.109,1.1073,-0.15,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159981,能源化工ETF,1.296,1.2958,-0.02,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
518680,金ETF,8.057,8.0705,0.17,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
563300,中证2000ETF,1.265,1.2655,0.04,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
159934,黄金ETF,7.645,7.6593,0.19,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
518800,黄金基金ETF,7.626,7.6402,0.19,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
512070,证券保险ETF,0.88,0.8812,0.14,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
159545,恒生红利低波ETF,1.393,1.3987,0.41,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
515650,消费50ETF,1.197,1.1985,0.13,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
518850,黄金ETF华夏,7.766,7.7794,0.17,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
518660,黄金ETF基金,7.714,7.7291,0.2,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
159806,新能源车ETF,0.649,0.6492,0.03,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
513660,恒生ETF,3.118,3.1134,-0.15,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
518880,黄金ETF,7.72,7.7339,0.18,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
159937,黄金ETF基金,7.706,7.7201,0.18,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
