ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间
159506,港股通医疗ETF富国,1.646,1.6485,0.15,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159859,生物医药ETF,0.438,0.4395,0.34,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
516780,稀土ETF,1.591,1.5919,0.06,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
516150,稀土ETF嘉实,1.648,1.6473,-0.04,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
512010,医药ETF,0.431,0.4313,0.07,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
513120,港股创新药ETF,1.505,1.5038,-0.08,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
159892,恒生医药ETF,0.938,0.9421,0.44,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
159713,稀土ETF,1.179,1.1807,0.14,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
520500,恒生创新药ETF,2.015,2.0108,-0.21,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
513780,港股创新药50ETF,1.918,1.924,0.31,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
512290,生物医药ETF,1.154,1.1532,-0.07,2025-09-04 13:53:10+08:00,2025-09-04 13:52:56
159227,航空航天ETF,1.103,1.1029,-0.01,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
588230,科创200ETF,1.369,1.3703,0.09,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
159992,创新药ETF,0.96,0.9604,0.04,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
588690,科创指数增强ETF,0.958,0.9593,0.14,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
512400,有色金属ETF,1.442,1.4429,0.06,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
588120,科创板100ETF,1.244,1.2426,-0.11,2025-09-04 13:52:56+08:00,2025-09-04 13:52:56
588030,科创100指数ETF,1.239,1.239,0.0,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
588220,科创100ETF基金,1.239,1.2382,-0.06,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
589000,科创综指ETF华夏,1.189,1.1865,-0.21,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
588800,科创100ETF华夏,1.203,1.2052,0.18,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
515120,创新药ETF,0.719,0.7212,0.31,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
589680,科创综指ETF鹏华,1.177,1.1779,0.08,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
588190,科创100ETF,1.234,1.2331,-0.07,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
589800,科创综指ETF易方达,1.178,1.1799,0.16,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
588380,双创50ETF,0.802,0.8007,-0.16,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
588300,双创ETF,0.806,0.8062,0.02,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
588180,科创50ETF基金,0.797,0.797,0.0,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
588330,双创龙头ETF,0.795,0.8008,0.72,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
516510,云计算ETF,1.521,1.5242,0.21,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
560860,工业有色ETF,1.186,1.1909,0.41,2025-09-04 13:52:59+08:00,2025-09-04 13:52:56
159781,科创创业ETF,0.778,0.7812,0.41,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
588400,科创创业ETF嘉实,0.787,0.7915,0.57,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
159259,成长ETF,0.937,0.94,0.32,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159780,双创ETF,0.781,0.7786,-0.31,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159273,云计算ETF汇添富,1.2,1.1992,-0.07,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
159807,科技ETF,0.642,0.6506,1.32,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
588930,科创板人工智能ETF,1.48,1.4824,0.16,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
515000,科技ETF,1.769,1.7679,-0.06,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
588000,科创50ETF,1.285,1.2975,0.96,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
159783,科创创业50ETF,0.783,0.7856,0.33,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
588730,科创人工智能ETF,1.384,1.3873,0.24,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
512760,芯片ETF,1.385,1.3809,-0.3,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159516,半导体设备ETF,1.157,1.1563,-0.06,2025-09-04 13:53:18+08:00,2025-09-04 13:52:56
588080,科创板50ETF,1.255,1.2676,0.99,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
588050,科创ETF,1.254,1.2666,0.99,2025-09-04 13:52:58+08:00,2025-09-04 13:52:56
588060,科创50ETF龙头,0.778,0.7872,1.17,2025-09-04 13:52:56+08:00,2025-09-04 13:52:56
588760,人工智能ETF科创,0.711,0.7145,0.49,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
588090,科创板ETF,1.257,1.2708,1.09,2025-09-04 13:52:55+08:00,2025-09-04 13:52:56
159994,5GETF,1.484,1.4833,-0.05,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
516640,芯片龙头ETF,0.908,0.9088,0.09,2025-09-04 13:53:02+08:00,2025-09-04 13:52:56
588790,科创AIETF,0.755,0.7583,0.44,2025-09-04 13:52:56+08:00,2025-09-04 13:52:56
512930,AI人工智能ETF,1.911,1.9074,-0.19,2025-09-04 13:53:03+08:00,2025-09-04 13:52:56
516350,芯片ETF易方达,1.01,1.0161,0.6,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
159819,人工智能ETF,1.339,1.3409,0.14,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
515070,人工智能AIETF,1.699,1.7026,0.21,2025-09-04 13:53:04+08:00,2025-09-04 13:52:56
515050,5G通信ETF,1.811,1.816,0.28,2025-09-04 13:53:06+08:00,2025-09-04 13:52:56
512480,半导体ETF,1.243,1.2504,0.59,2025-09-04 13:53:08+08:00,2025-09-04 13:52:56
159813,半导体ETF,0.955,0.9589,0.41,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
159995,芯片ETF,1.483,1.4943,0.76,2025-09-04 13:53:12+08:00,2025-09-04 13:52:56
588290,科创芯片ETF基金,1.91,1.9246,0.76,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
515880,通信ETF,2.413,2.4157,0.11,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159801,芯片ETF龙头,0.734,0.7445,1.41,2025-09-04 13:53:15+08:00,2025-09-04 13:52:56
515980,人工智能ETF,1.548,1.5523,0.28,2025-09-04 13:53:05+08:00,2025-09-04 13:52:56
159363,创业板人工智能ETF华宝,0.809,0.813,0.49,2025-09-04 13:53:21+08:00,2025-09-04 13:52:56
588200,科创芯片ETF,1.951,1.9724,1.08,2025-09-04 13:52:57+08:00,2025-09-04 13:52:56
588750,科创芯片50ETF,1.317,1.3147,-0.17,2025-09-04 13:52:56+08:00,2025-09-04 13:52:56
588890,科创芯片ETF南方,2.18,2.208,1.27,2025-09-04 13:52:56+08:00,2025-09-04 13:52:56
