ETF代码,ETF名称,市场价格,IOPV,折溢价率,净值时间,计算时间,timestamp
515880,通信ETF,2.9,2.8999,0.0,2025-10-27 12:23:32+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
513310,中韩半导体ETF,2.597,2.5315,-2.59,2025-10-27 12:23:32+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
515050,5G通信ETF,2.235,2.2363,0.06,2025-10-27 12:23:31+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159994,5GETF,1.827,1.8303,0.18,2025-10-27 12:23:00+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159583,通信设备ETF,2.338,2.3392,0.05,2025-10-27 12:23:33+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159363,创业板人工智能ETF华宝,0.917,0.9168,-0.02,2025-10-27 12:23:33+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159381,创业板人工智能ETF华夏,1.729,1.7297,0.04,2025-10-27 12:23:36+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159246,创业板人工智能ETF富国,1.73,1.731,0.06,2025-10-27 12:23:06+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159242,创业板人工智能ETF大成,1.545,1.5462,0.08,2025-10-27 12:23:36+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159382,创业板人工智能ETF南方,1.97,1.9654,-0.23,2025-10-27 12:23:09+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159279,创业板人工智能ETF华安,1.049,1.0495,0.05,2025-10-27 12:23:06+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159507,通信ETF广发,1.899,1.8989,-0.01,2025-10-27 12:23:48+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159811,5G50ETF,2.273,2.2751,0.09,2025-10-27 12:23:42+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159695,通信ETF,2.069,2.0672,-0.09,2025-10-27 12:23:18+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159388,创业板人工智能ETF国泰,1.872,1.8756,0.19,2025-10-27 12:22:57+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159866,日经ETF,1.425,1.362,-4.63,2025-10-27 12:23:12+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159660,纳指100ETF,2.123,1.9627,-8.17,2025-10-27 12:23:03+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159967,创业板成长ETF,0.635,0.6356,0.09,2025-10-27 12:22:51+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159511,通信ETF南方,1.792,1.792,0.0,2025-10-27 12:23:45+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
560660,云50ETF,1.99,1.9878,-0.11,2025-10-27 12:23:26+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159516,半导体设备ETF,1.524,1.5243,0.02,2025-10-27 12:23:36+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
562590,半导体材料ETF,1.6,1.5999,-0.01,2025-10-27 12:23:24+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
513090,香港证券ETF,2.357,2.384,1.13,2025-10-27 12:23:31+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159273,云计算ETF汇添富,1.372,1.376,0.29,2025-10-27 12:23:48+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
560780,芯片设备ETF,1.676,1.6759,-0.01,2025-10-27 12:23:26+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159513,纳斯达克100指数ETF,1.607,1.5063,-6.69,2025-10-27 12:23:48+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159738,云计算ETF华泰柏瑞,1.936,1.937,0.05,2025-10-27 12:23:18+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
517390,云计算ETF沪港深,1.828,1.8313,0.18,2025-10-27 12:23:30+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159671,稀有金属ETF基金,1.199,1.1993,0.03,2025-10-27 12:23:39+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159608,稀有金属ETF,0.987,0.9868,-0.02,2025-10-27 12:23:12+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159663,机床ETF,1.504,1.5056,0.11,2025-10-27 12:23:42+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
515210,钢铁ETF,1.491,1.4928,0.12,2025-10-27 12:23:29+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159259,成长ETF,1.046,1.0467,0.07,2025-10-27 12:22:54+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
562800,稀有金属ETF,0.86,0.8594,-0.07,2025-10-27 12:23:25+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159558,半导体设备ETF易方达,1.779,1.7792,0.01,2025-10-27 12:23:39+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
561800,稀有金属ETF基金,0.913,0.9148,0.2,2025-10-27 12:23:27+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159632,纳斯达克ETF,2.171,2.0413,-6.35,2025-10-27 12:23:21+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159715,稀土ETF易方达,1.225,1.2225,-0.2,2025-10-27 12:23:36+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159501,纳指ETF嘉实,1.798,1.6859,-6.65,2025-10-27 12:23:45+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159709,物联网ETF工银,1.394,1.3949,0.06,2025-10-27 12:23:33+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159667,工业母机ETF,1.517,1.5189,0.13,2025-10-27 12:23:12+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159909,TMT50ETF,1.085,1.091,0.55,2025-10-27 12:23:33+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
513870,纳指ETF富国,1.811,1.7091,-5.96,2025-10-27 12:23:33+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
560860,工业有色ETF,1.445,1.4419,-0.21,2025-10-27 12:23:27+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
515000,科技ETF,1.042,1.0435,0.14,2025-10-27 12:23:28+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
563010,电信ETF,1.847,1.8471,0.01,2025-10-27 12:23:25+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159327,半导体设备ETF基金,1.802,1.804,0.11,2025-10-27 12:23:24+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
516150,稀土ETF嘉实,1.862,1.862,0.0,2025-10-27 12:23:33+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
159597,创业板成长ETF易方达,2.029,2.0253,-0.18,2025-10-27 12:23:09+08:00,2025-10-27 12:23:20,2025-10-27 12:23:51
