日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2024-11-13,0.762,0.766,0.746,0.752,1822264000,1370342481.08,2.68,0.0,0.0,8.04,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-14,0.749,0.757,0.739,0.74,1570506000,1162174454.98,2.44,-1.6,-0.012,6.93,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-15,0.742,0.747,0.733,0.736,1659562000,1221437634.37,1.91,-0.54,-0.004,7.32,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-18,0.735,0.736,0.718,0.721,1762980000,1271108607.74,2.51,-2.04,-0.015,7.78,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-19,0.724,0.727,0.716,0.725,1338622000,970500981.92,1.54,0.55,0.004,5.91,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-20,0.723,0.748,0.722,0.746,2591004000,1932888963.0,3.6,2.9,0.021,11.43,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-21,0.744,0.759,0.744,0.748,1767247000,1321900801.51,2.02,0.27,0.002,7.8,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-22,0.745,0.747,0.718,0.72,1505041000,1083629563.06,4.04,-3.74,-0.028,6.64,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-25,0.726,0.732,0.724,0.731,1333224000,974586752.26,1.1,1.53,0.011,5.88,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-26,0.729,0.74,0.729,0.735,1202018000,883483247.2,1.51,0.55,0.004,5.3,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-27,0.734,0.751,0.734,0.751,1799989000,1351791715.83,2.32,2.18,0.016,7.94,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-28,0.754,0.759,0.743,0.746,1559561000,1163432493.36,2.15,-0.67,-0.005,6.88,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-11-29,0.748,0.759,0.743,0.749,1704514000,1276681007.94,2.15,0.4,0.003,7.52,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-02,0.749,0.758,0.748,0.757,1249674000,946003254.35,1.34,1.07,0.008,5.51,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-03,0.757,0.769,0.756,0.765,1428146000,1092531669.57,1.72,1.06,0.008,6.3,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-04,0.769,0.769,0.759,0.761,954274600,726202949.21,1.32,-0.52,-0.004,4.21,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-05,0.753,0.755,0.745,0.749,906797100,679191039.57,1.34,-1.58,-0.012,4.0,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-06,0.749,0.768,0.747,0.763,1736355000,1324838884.87,2.81,1.87,0.014,7.66,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-09,0.778,0.785,0.768,0.773,1758986000,1359696181.35,2.21,1.31,0.01,7.76,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-10,0.8,0.803,0.768,0.77,1970140000,1517007762.42,4.56,-0.39,-0.003,8.69,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-11,0.767,0.77,0.761,0.763,1074437000,819795443.3,1.18,-0.91,-0.007,4.74,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-12,0.762,0.766,0.755,0.764,1272224000,971979134.18,1.46,0.13,0.001,5.61,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-13,0.757,0.759,0.744,0.746,1131190000,843867730.83,2.02,-2.36,-0.018,4.99,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
2024-12-16,0.745,0.746,0.727,0.729,1260314000,918768871.14,2.61,-2.28,-0.017,5.56,0.0,0.0,0.0,513120,港股创新药ETF,2025-11-13 12:30:49
