日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-11-03,1.01,1.035,1.004,1.023,156916600.0,160525682.1,0.0,0.0,,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-04,1.024,1.03,0.999,1.005,18968290.0,19063131.36,3.03,-1.76,-0.018,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-05,0.996,1.008,0.98,1.001,8717472.0,8726189.88,2.79,-0.4,-0.004,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-06,1.01,1.01,0.995,1.006,9302312.0,9358126.26,1.5,0.5,0.005,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-07,1.003,1.005,0.987,0.989,8165154.0,8075337.49,1.79,-1.69,-0.017,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-10,0.983,0.998,0.98,0.998,14863080.0,14833354.22,1.82,0.91,0.009,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-11,0.999,1.001,0.988,0.992,5544722.0,5500364.13,1.3,-0.6,-0.006,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-12,0.998,1.023,0.997,1.016,49354990.0,50144671.44,2.62,2.42,0.024,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-14,1.045,1.065,1.036,1.046,28524380.0,29836501.59,2.85,2.95,0.03,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-17,1.046,1.05,1.022,1.028,14099610.0,14494399.04,2.68,-1.72,-0.018,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-18,1.023,1.04,1.006,1.011,5130824.0,5187263.25,3.31,-1.65,-0.017,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-19,1.006,1.013,0.998,1.003,19140730.0,19198152.59,1.48,-0.79,-0.008,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-20,1.007,1.02,1.002,1.006,5058303.0,5088653.03,1.79,0.3,0.003,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-21,0.997,0.999,0.967,0.974,10952200.0,10667442.55,3.18,-3.18,-0.032,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-24,0.975,1.003,0.975,1.0,7135011.0,7135011.0,2.87,2.67,0.026,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-25,0.998,1.021,0.998,1.001,6273613.0,6279886.91,2.3,0.1,0.001,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-26,1.015,1.032,1.008,1.018,10668020.0,10860044.43,2.4,1.7,0.017,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-27,1.018,1.022,1.007,1.012,5978433.0,6050173.99,1.47,-0.59,-0.006,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-11-28,1.026,1.026,1.004,1.006,17095550.0,17198124.02,2.17,-0.59,-0.006,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-01,1.006,1.009,1.001,1.005,13971710.0,14041568.48,0.8,-0.1,-0.001,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-02,1.005,1.005,0.99,0.992,10800700.0,10714294.22,1.49,-1.29,-0.013,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-03,0.992,0.995,0.972,0.975,10756300.0,10487392.76,2.32,-1.71,-0.017,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-04,0.982,0.997,0.978,0.996,17252350.0,17183340.46,1.95,2.15,0.021,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-05,0.996,1.0,0.985,0.995,12101320.0,12040813.46,1.51,-0.1,-0.001,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-08,0.995,1.001,0.979,0.986,11832850.0,11667190.12,2.21,-0.9,-0.009,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-09,0.986,0.992,0.968,0.972,15327210.0,14898048.16,2.43,-1.42,-0.014,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-10,0.972,0.973,0.96,0.969,23897300.0,23156483.27,1.34,-0.31,-0.003,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-11,0.97,0.984,0.963,0.967,24816910.0,23997952.16,2.17,-0.21,-0.002,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-12,0.97,0.975,0.96,0.974,29246720.0,28486304.61,1.55,0.72,0.007,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-15,0.97,0.97,0.94,0.941,19328820.0,18188419.33,3.08,-3.39,-0.033,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-16,0.947,0.947,0.915,0.925,30454200.0,28170135.36,3.4,-1.7,-0.016,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-17,0.927,0.935,0.921,0.931,24520300.0,22828399.16,1.51,0.65,0.006,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-18,0.931,0.943,0.922,0.939,23647410.0,22204918.24,2.26,0.86,0.008,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-19,0.939,0.967,0.939,0.956,29426500.0,28131733.13,2.98,1.81,0.017,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-22,0.956,0.962,0.944,0.945,23145400.0,21872402.83,1.88,-1.15,-0.011,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-23,0.948,0.959,0.942,0.943,19581700.0,18465543.46,1.8,-0.21,-0.002,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-24,0.943,0.944,0.936,0.938,10596400.0,9939423.45,0.85,-0.53,-0.005,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
,2025-12-25,0.938,0.94,0.935,0.937,2996006.0,2807257.55,0.53,-0.11,-0.001,0.0,0.0,0.0,0.0,159105,恒生生物科技ETF易方达,2026-04-30 05:31:23
