日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率
2025-10-14,1.098,1.103,1.04,1.044,1832758,195625806.0,5.82,-3.51,-0.038,20.53,520840,港股通恒生科技ETF,2025-10-14 17:51:50,---
2025-10-13,1.063,1.101,1.059,1.082,2130675,230374294.0,3.79,-2.43,-0.027,23.87,520840,港股通恒生科技ETF,2025-10-14 17:51:50,---
2025-10-10,1.137,1.138,1.104,1.109,1106662,124052192.0,2.96,-3.4,-0.039,13.83,520840,港股通恒生科技ETF,2025-10-10 17:13:23,---
2025-10-09,1.149,1.174,1.137,1.148,1631532,188693926.0,3.24,0.61,0.007,20.39,520840,港股通恒生科技ETF,2025-10-10 17:13:23,---
2025-09-30,1.122,1.141,1.118,1.141,1245131,140538546.0,2.06,2.24,0.025,14.96,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-29,1.107,1.118,1.104,1.116,828557,92128019.0,1.26,0.72,0.008,9.96,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-26,1.136,1.136,1.107,1.108,1021271,114283693.0,2.56,-2.38,-0.027,12.27,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-25,1.124,1.145,1.12,1.135,1358233,154268789.0,2.23,1.43,0.016,16.32,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-24,1.085,1.121,1.076,1.119,1728025,190881341.0,4.14,3.04,0.033,20.77,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-23,1.102,1.108,1.073,1.086,1199149,130582653.0,3.18,-1.36,-0.015,14.41,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-22,1.092,1.103,1.088,1.101,961090,105322267.0,1.37,0.73,0.008,11.55,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-19,1.093,1.111,1.085,1.093,1386814,152501046.0,2.39,0.37,0.004,16.67,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-18,1.107,1.128,1.074,1.089,2295223,253306705.0,4.89,-1.36,-0.015,27.59,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-17,1.069,1.105,1.067,1.104,1917508,208803057.0,3.57,3.76,0.04,23.05,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-16,1.059,1.071,1.051,1.064,1370470,145437691.0,1.9,1.04,0.011,16.47,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-15,1.054,1.064,1.05,1.053,1201797,127141225.0,1.33,0.38,0.004,14.44,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-12,1.047,1.058,1.045,1.049,2689334,283202770.0,1.26,1.55,0.016,32.32,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-11,1.019,1.035,1.01,1.033,1178461,120979013.0,2.44,0.68,0.007,14.16,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-10,1.024,1.037,1.022,1.026,1670839,172222400.0,1.48,0.98,0.01,20.08,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-09,1.009,1.019,1.006,1.016,1886084,191372047.0,1.29,0.69,0.007,22.67,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-08,1.002,1.009,0.997,1.009,703750,70649280.0,1.2,0.7,0.007,8.46,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-05,0.979,1.002,0.979,1.002,820867,81365720.0,2.35,2.45,0.024,9.87,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-04,1.008,1.011,0.972,0.978,988359,97826180.0,3.89,-2.49,-0.025,11.88,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-03,1.014,1.019,1.002,1.003,758860,76554579.0,1.68,-0.79,-0.008,9.12,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-02,1.03,1.033,1.007,1.011,763252,77564110.0,2.53,-1.65,-0.017,9.17,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-09-01,1.036,1.046,1.019,1.028,1450111,149483224.0,2.65,1.08,0.011,17.43,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-08-29,1.02,1.025,1.009,1.017,989100,100262584.0,1.57,-0.2,-0.002,11.89,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-08-28,1.017,1.021,1.005,1.019,1400182,141912319.0,1.57,0.0,0.0,16.83,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-08-27,1.029,1.045,1.018,1.019,1788806,184815175.0,2.63,-0.59,-0.006,21.5,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-08-26,1.032,1.036,1.022,1.025,1195223,123027597.0,1.36,-0.77,-0.008,14.36,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
2025-08-25,1.015,1.035,1.014,1.033,5330558,546685149.0,2.09,2.68,0.027,64.07,520840,港股通恒生科技ETF,2025-10-03 18:25:17,
