日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折溢价率
2025-09-24,1.117,1.134,1.108,1.133,101234801,1146990.3,2.32,0.89,0.01,,159227,航空航天ETF,2025-09-24 18:26:46,
2025-09-23,1.135,1.137,1.101,1.123,99332848,1115507.88,3.19,-0.62,-0.007,,159227,航空航天ETF,2025-09-24 18:26:46,
2025-09-22,1.123,1.131,1.117,1.13,129970200,1468663.26,1.25,0.62,0.007,,159227,航空航天ETF,2025-09-24 18:26:46,
2025-09-19,1.113,1.145,1.11,1.126,140800905,1585418.19,3.14,1.08,0.012,,159227,航空航天ETF,2025-09-19 18:14:22,
2025-09-18,1.125,1.137,1.103,1.114,127827109,1423993.99,3.04,-0.54,-0.006,,159227,航空航天ETF,2025-09-19 18:14:22,
2025-09-17,1.115,1.124,1.11,1.12,66407085,743759.35,1.26,0.45,0.005,,159227,航空航天ETF,2025-09-19 18:14:22,
2025-09-16,1.119,1.119,1.101,1.115,83348000,929330.2,1.61,-0.36,-0.004,,159227,航空航天ETF,2025-09-18 22:22:51,
2025-09-12,1.13,1.138,1.124,1.13,102859600,1162313.48,1.24,0.0,0.0,,159227,航空航天ETF,2025-09-17 22:21:54,
2025-09-11,1.108,1.13,1.1,1.13,128899706,1456566.68,2.71,1.99,0.022,,159227,航空航天ETF,2025-09-17 22:21:54,
2025-09-10,1.098,1.116,1.095,1.108,84156500,932454.02,1.91,0.91,0.01,,159227,航空航天ETF,2025-09-17 22:21:54,
2025-09-09,1.12,1.12,1.097,1.098,109347000,1200630.06,0.0,0.0,0.0,0.0,159227,航空航天ETF,2025-09-09 18:57:38,
2025-09-08,1.114,1.122,1.1,1.12,170111252,1905246.02,0.0,0.0,0.0,0.0,159227,航空航天ETF,2025-09-08 19:44:28,
2025-09-05,1.1,1.112,1.088,1.109,173312213,192.2,2.18,0.73,0.008,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-09-04,1.135,1.136,1.085,1.101,235494610,259.28,4.44,-4.18,-0.048,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-09-03,1.237,1.239,1.142,1.149,246280611,282.98,7.86,-6.89,-0.085,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-09-02,1.262,1.262,1.212,1.234,161493472,199.28,3.96,-2.22,-0.028,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-09-01,1.275,1.28,1.237,1.262,202377203,255.4,3.38,-0.79,-0.01,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-29,1.243,1.273,1.235,1.272,232352903,295.55,3.05,2.0,0.025,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-28,1.231,1.248,1.201,1.247,144229702,179.85,3.82,1.46,0.018,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-27,1.254,1.263,1.229,1.229,143996700,176.97,2.71,-1.92,-0.024,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-26,1.265,1.265,1.246,1.253,110084601,137.94,1.5,-0.79,-0.01,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-25,1.236,1.264,1.233,1.263,175578232,221.76,2.51,2.18,0.027,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-22,1.206,1.236,1.196,1.236,206490129,255.22,3.32,2.49,0.03,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-21,1.216,1.22,1.201,1.206,147296601,177.64,1.56,-0.82,-0.01,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-20,1.196,1.216,1.189,1.216,170017302,206.74,2.26,1.59,0.019,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-19,1.22,1.22,1.193,1.197,173924400,208.19,2.21,-2.05,-0.025,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-18,1.192,1.222,1.192,1.222,174333649,213.04,2.52,2.69,0.032,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-15,1.178,1.19,1.175,1.19,145806200,173.51,1.27,0.68,0.008,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-14,1.215,1.215,1.179,1.182,205467477,242.86,2.97,-2.56,-0.031,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-13,1.201,1.223,1.198,1.213,121161240,146.97,2.08,1.0,0.012,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-12,1.214,1.222,1.192,1.201,137275707,164.87,2.46,-1.56,-0.019,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-11,1.207,1.226,1.207,1.22,99862304,121.83,1.58,1.16,0.014,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-08,1.208,1.22,1.202,1.206,92340600,111.36,1.48,-0.58,-0.007,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-07,1.22,1.22,1.2,1.213,125152403,151.81,1.64,-0.57,-0.007,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-06,1.187,1.224,1.183,1.22,135230006,164.98,3.45,2.69,0.032,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-05,1.193,1.205,1.182,1.188,131942803,156.75,1.93,-0.08,-0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-04,1.142,1.189,1.139,1.189,154933829,184.22,4.37,3.93,0.045,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-08-01,1.168,1.168,1.137,1.144,128361104,146.85,2.65,-2.31,-0.027,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-31,1.16,1.18,1.159,1.171,112937519,132.25,1.79,-0.17,-0.002,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-30,1.191,1.205,1.158,1.173,164184941,192.59,3.95,-1.43,-0.017,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-29,1.171,1.191,1.161,1.19,97065706,115.51,2.56,1.62,0.019,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-28,1.146,1.171,1.146,1.171,88556007,103.7,2.18,2.0,0.023,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-25,1.15,1.15,1.137,1.148,104676103,120.17,1.13,0.17,0.002,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-24,1.125,1.146,1.123,1.146,108160367,123.95,2.04,1.87,0.021,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-23,1.142,1.142,1.121,1.125,181220900,203.87,1.83,-1.92,-0.022,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-22,1.147,1.165,1.138,1.147,189938814,217.86,2.36,0.17,0.002,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-21,1.14,1.152,1.133,1.145,118057359,135.18,1.67,0.35,0.004,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-18,1.125,1.143,1.119,1.141,144858889,165.28,2.14,1.51,0.017,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-17,1.086,1.125,1.085,1.124,173629490,195.16,3.68,3.4,0.037,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-16,1.09,1.092,1.083,1.087,68794329,74.78,0.82,-0.37,-0.004,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-15,1.099,1.099,1.082,1.091,91737948,100.09,1.55,-0.82,-0.009,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-14,1.101,1.107,1.093,1.1,66328101,72.96,1.27,0.0,0.0,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-11,1.09,1.102,1.085,1.1,78321064,86.15,1.56,0.64,0.007,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-10,1.091,1.093,1.076,1.093,95566001,104.45,1.55,-0.27,-0.003,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-09,1.102,1.116,1.091,1.096,84703503,92.84,2.27,-0.54,-0.006,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-08,1.094,1.103,1.09,1.102,64318790,70.88,1.19,0.64,0.007,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-07,1.09,1.1,1.081,1.095,52216178,57.18,1.74,0.09,0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-04,1.099,1.107,1.083,1.094,80208400,87.75,2.18,-0.45,-0.005,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-03,1.093,1.114,1.092,1.099,61974612,68.11,2.01,0.18,0.002,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-02,1.12,1.123,1.093,1.097,80468378,88.27,2.67,-2.32,-0.026,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-07-01,1.136,1.138,1.11,1.123,86011363,96.59,2.47,-0.88,-0.01,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-30,1.079,1.134,1.075,1.133,76821745,87.04,5.48,5.2,0.056,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-27,1.067,1.088,1.066,1.077,59082908,63.63,2.07,1.22,0.013,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-26,1.057,1.089,1.056,1.064,70768384,75.3,3.12,0.76,0.008,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-25,1.022,1.057,1.018,1.056,78605583,83.01,3.82,3.43,0.035,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-24,1.006,1.026,1.001,1.021,52877781,53.99,2.45,0.1,0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-23,1.007,1.021,1.007,1.02,42982358,43.84,1.39,1.39,0.014,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-20,1.015,1.019,1.004,1.006,45549942,45.82,1.47,-1.57,-0.016,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-19,1.037,1.039,1.008,1.022,60128571,61.45,2.99,-1.54,-0.016,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-18,1.03,1.05,1.025,1.038,46502499,48.27,2.44,1.17,0.012,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-17,1.026,1.032,1.014,1.026,26122940,26.8,1.75,0.0,0.0,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-16,1.029,1.032,1.012,1.026,31512189,32.33,1.95,0.1,0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-13,1.013,1.032,1.007,1.025,41702583,42.75,2.49,1.89,0.019,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-12,1.015,1.015,1.004,1.006,20997803,21.12,1.08,-0.89,-0.009,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-11,1.009,1.016,1.008,1.015,18266880,18.54,0.79,0.59,0.006,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-10,1.025,1.025,1.001,1.009,63722835,64.3,2.34,-1.46,-0.015,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-09,1.015,1.036,1.011,1.024,100020772,102.42,2.49,1.79,0.018,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-06,1.008,1.02,1.005,1.006,33928173,34.13,1.49,-0.2,-0.002,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-05,1.007,1.011,0.997,1.008,19390618,19.55,1.39,0.1,0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-04,1.005,1.011,1.004,1.007,11761464,11.84,0.69,-0.2,-0.002,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-06-03,1.016,1.027,1.004,1.009,51487815,51.95,2.27,-0.39,-0.004,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-30,1.006,1.017,1.0,1.013,78580154,79.6,1.69,0.7,0.007,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-29,0.982,1.007,0.98,1.006,58755181,59.11,2.74,2.13,0.021,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-28,0.989,0.992,0.981,0.985,18128706,17.86,1.11,-0.51,-0.005,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-27,0.994,0.994,0.978,0.99,23060641,22.83,1.62,0.1,0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-26,0.985,0.99,0.98,0.989,14303729,14.15,1.01,0.3,0.003,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-23,0.988,0.996,0.984,0.986,14740477,14.53,1.21,-0.9,-0.009,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-22,0.991,1.01,0.988,0.995,60799650,60.5,2.22,0.51,0.005,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-21,0.991,0.995,0.986,0.99,11644769,11.53,0.91,-0.1,-0.001,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-20,0.997,0.997,0.988,0.991,11926960,11.82,0.9,-0.6,-0.006,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-19,0.99,1.0,0.978,0.997,21912030,21.85,2.22,0.71,0.007,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
2025-05-16,0.993,1.005,0.982,0.99,28751493,28.46,0.0,0.0,0.0,0.0,159227,航空航天ETF,2025-09-06 21:15:10,
