日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间
2026-05-12,0.952,0.952,0.938,0.939,20718513.0,nan,1.47,-1.47,-0.01,0.00,,,159181,,2026-05-23 04:46:31
2026-05-13,0.939,0.953,0.939,0.948,17777229.0,nan,1.49,0.96,0.01,0.00,,,159181,,2026-05-23 04:46:31
2026-05-14,0.945,0.948,0.938,0.94,15877553.0,nan,1.05,-0.84,-0.01,0.00,,,159181,,2026-05-23 04:46:31
2026-05-15,0.94,0.945,0.928,0.945,21839411.0,nan,1.81,0.53,0.01,0.00,,,159181,,2026-05-23 04:46:31
2026-05-18,0.948,0.948,0.925,0.944,10524900.0,nan,2.43,-0.11,-0.00,0.00,,,159181,,2026-05-23 04:46:31
2026-05-19,0.932,0.943,0.931,0.942,11450113.0,nan,1.27,-0.21,-0.00,0.00,,,159181,,2026-05-23 04:46:31
2026-05-20,0.936,0.95,0.933,0.946,13300704.0,nan,1.80,0.42,0.00,0.00,,,159181,,2026-05-23 04:46:31
2026-05-21,0.938,0.942,0.917,0.919,17211709.0,nan,2.64,-2.85,-0.03,0.00,,,159181,,2026-05-23 04:46:31
2026-05-22,0.918,0.924,0.912,0.917,17653408.0,nan,1.31,-0.22,-0.00,0.00,,,159181,,2026-05-23 04:46:31
2026-05-25,0.91,0.916,0.896,0.9,27331724.0,nan,2.18,-1.85,-0.02,0.00,,,159181,,2026-05-29 05:21:01
2026-05-26,0.899,0.901,0.887,0.899,13857228.0,nan,1.56,-0.11,-0.00,0.00,,,159181,,2026-05-29 05:21:01
2026-05-27,0.898,0.901,0.877,0.883,18233973.0,nan,2.67,-1.78,-0.02,0.00,,,159181,,2026-05-29 05:21:01
2026-05-28,0.883,0.895,0.883,0.891,17452545.0,nan,1.36,0.91,0.01,0.00,,,159181,,2026-05-29 05:21:01
2026-05-29,0.892,0.893,0.872,0.878,20590502.0,nan,2.36,-1.46,-0.01,0.00,,,159181,,2026-05-30 05:20:50
2026-06-01,0.878,0.901,0.876,0.894,15234908.0,nan,2.85,1.82,0.02,0.00,,,159181,,2026-06-02 05:20:48
2026-06-02,0.901,0.904,0.882,0.888,13384404.0,nan,2.46,-0.67,-0.01,0.00,,,159181,,2026-06-04 05:21:23
2026-06-03,0.889,0.899,0.875,0.89,12891538.0,nan,2.70,0.23,0.00,0.00,,,159181,,2026-06-04 05:21:23
2026-06-04,0.89,0.896,0.883,0.888,11671233.0,nan,1.46,-0.22,-0.00,0.00,,,159181,,2026-06-05 05:30:50
2026-06-05,0.888,0.895,0.879,0.881,12989102.0,nan,1.80,-0.79,-0.01,0.00,,,159181,,2026-06-06 05:20:08
2026-06-08,0.88,0.883,0.869,0.877,12544504.0,nan,1.59,-0.45,-0.00,0.00,,,159181,,2026-06-09 05:37:03
