日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折溢价率
2025-09-22,1.398,1.459,1.387,1.447,437836740,6335497.63,5.15,3.51,0.049,,588050,科创ETF,2025-09-22 21:52:51,
2025-09-19,1.421,1.437,1.394,1.398,349826246,4890570.92,3.03,-1.34,-0.019,,588050,科创ETF,2025-09-19 18:14:22,
2025-09-18,1.418,1.47,1.385,1.417,564813940,8003413.53,6.05,0.78,0.011,,588050,科创ETF,2025-09-19 18:14:22,
2025-09-17,1.389,1.415,1.373,1.406,392551838,5519278.84,3.02,1.22,0.017,,588050,科创ETF,2025-09-19 18:14:22,
2025-09-16,1.378,1.406,1.378,1.394,357884113,4988904.54,2.03,1.16,0.016,,588050,科创ETF,2025-09-18 22:22:51,
2025-09-12,1.357,1.397,1.351,1.375,472307506,6494228.21,3.38,1.03,0.014,,588050,科创ETF,2025-09-17 22:21:54,
2025-09-11,1.285,1.368,1.274,1.361,437731177,5957521.32,7.29,5.59,0.072,,588050,科创ETF,2025-09-17 22:21:54,
2025-09-10,1.28,1.303,1.278,1.289,326918665,4213981.59,1.95,0.7,0.009,,588050,科创ETF,2025-09-17 22:21:54,
2025-09-09,1.285,1.304,1.271,1.277,231138538,2951639.13,0.0,0.0,0.0,0.0,588050,科创ETF,2025-09-09 18:57:38,
2025-09-08,1.299,1.303,1.273,1.298,262362955,3405471.16,0.0,0.0,0.0,0.0,588050,科创ETF,2025-09-08 18:27:51,
2025-09-05,1.253,1.306,1.241,1.3,402598629,523.38,5.19,3.75,0.047,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-09-04,1.328,1.334,1.228,1.253,629146649,788.32,7.95,-6.07,-0.081,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-09-03,1.363,1.363,1.324,1.334,308800990,411.94,2.86,-2.27,-0.031,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-09-02,1.396,1.403,1.348,1.365,434742945,593.42,3.94,-2.29,-0.032,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-09-01,1.381,1.407,1.36,1.397,385208666,538.14,3.41,1.23,0.017,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-29,1.376,1.385,1.351,1.38,481897217,665.02,2.43,-1.57,-0.022,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-28,1.309,1.404,1.309,1.402,922827542,1293.8,7.26,7.19,0.094,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-27,1.319,1.37,1.307,1.308,1432945253,1874.29,4.82,0.08,0.001,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-26,1.305,1.32,1.291,1.307,766098403,1001.29,2.19,-1.28,-0.017,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-25,1.304,1.36,1.287,1.324,1024533869,1356.48,5.65,2.56,0.033,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-22,1.191,1.293,1.19,1.291,940454595,1214.13,8.72,9.31,0.11,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-21,1.182,1.207,1.175,1.181,498592454,588.84,2.71,-0.08,-0.001,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-20,1.141,1.182,1.136,1.182,485056632,573.34,4.02,3.32,0.038,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-19,1.156,1.165,1.142,1.144,448208112,512.75,1.98,-1.29,-0.015,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-18,1.146,1.171,1.137,1.159,481707342,558.3,3.0,2.2,0.025,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-15,1.111,1.136,1.107,1.134,288291454,326.92,2.6,1.61,0.018,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-14,1.11,1.141,1.109,1.116,558330143,623.1,2.89,0.63,0.007,0.0,588050,科创ETF,2025-09-06 21:15:10,
2025-08-13,1.098,1.11,1.097,1.109,331613879,367.76,1.18,0.64,0.007,0.0,588050,科创ETF,2025-09-06 21:15:10,
