日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率,IOPV,溢价率
2025-10-13,1.147,1.245,1.14,1.192,10769,1281137.0,8.81,0.0,0.0,4.69,560890,红利低波ETF新华,2025-10-13 21:25:23,0.68%,,
2025-10-14,1.195,1.238,1.193,1.226,10188,1239415.0,3.78,2.85,0.034,4.43,560890,红利低波ETF新华,2025-10-14 18:56:21,---,,
2025-10-15,1.246,1.246,1.208,1.231,20070,2459707.0,3.1,0.41,0.005,8.73,560890,红利低波ETF新华,2025-10-15 18:47:29,---,,
2025-10-16,1.207,1.235,1.207,1.232,12215,1502542.0,2.27,0.08,0.001,5.09,560890,红利低波ETF新华,2025-10-16 17:42:15,---,,
2025-10-17,1.232,1.239,1.225,1.234,5693,703438.0,1.14,0.16,0.002,2.37,560890,红利低波ETF新华,2025-10-17 19:51:31,---,,
2025-10-20,1.248,1.248,1.214,1.23,5844,717271.0,2.76,-0.32,-0.004,2.44,560890,红利低波ETF新华,2025-10-20 17:20:32,---,,
2025-10-21,1.23,1.235,1.226,1.234,2436,299506.0,0.73,0.33,0.004,1.02,560890,红利低波ETF新华,2025-10-22 17:20:00,---,,
2025-10-22,1.234,1.242,1.233,1.236,9635,1192556.0,0.73,0.16,0.002,4.02,560890,红利低波ETF新华,2025-10-22 17:20:00,---,,
2025-10-23,1.242,1.25,1.239,1.243,8482,1056821.0,0.89,0.57,0.007,3.69,560890,红利低波ETF新华,2025-10-23 17:40:32,---,,
2025-10-24,1.241,1.248,1.238,1.238,8503,1056118.0,0.8,-0.4,-0.005,3.7,560890,红利低波ETF新华,2025-10-24 18:19:35,---,,
2025-10-27,1.232,1.246,1.231,1.239,27637,3430174.0,1.21,0.08,0.001,13.17,560890,红利低波ETF新华,2025-10-29 17:57:18,---,,
2025-10-28,1.25,1.25,1.229,1.237,2037,252415.0,1.69,-0.16,-0.002,0.97,560890,红利低波ETF新华,2025-10-29 17:57:18,---,,
2025-10-29,1.229,1.233,1.225,1.227,2370,291040.0,0.65,-0.81,-0.01,1.13,560890,红利低波ETF新华,2025-10-29 17:57:18,---,,
2025-10-30,1.227,1.236,1.227,1.23,2350200,2890746.04,0.0,0.0,,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-10-31,1.232,1.233,1.225,1.233,2302900,2839475.79,0.65,0.24,0.003,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-03,1.209,1.245,1.209,1.245,3044800,3790776.01,2.92,0.97,0.012,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-04,1.245,1.26,1.245,1.259,629500,792540.46,1.2,1.12,0.014,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-05,1.254,1.26,1.216,1.222,834800,1020125.6,3.49,-2.94,-0.037,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-06,1.248,1.262,1.248,1.259,1442100,1815603.82,1.15,3.03,0.037,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-07,1.24,1.268,1.24,1.26,895900,1128833.99,2.22,0.08,0.001,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-10,1.26,1.268,1.246,1.268,611900,775889.2,1.75,0.63,0.008,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-11,1.266,1.273,1.264,1.272,456200,580286.38,0.71,0.32,0.004,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
2025-11-12,1.272,1.291,1.272,1.286,11062900,14226889.55,1.49,1.1,0.014,0.0,560890,红利低波ETF新华,2025-11-16 22:36:49,0.0,0.0,0.0
