日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率,IOPV,溢价率
2025-04-25,1.001,1.004,0.999,1.0,2932300,293665088.0,0.5,0.0,0.0,62.92,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-04-28,1.0,1.002,0.996,0.999,996913,99620841.0,0.6,-0.1,-0.001,21.39,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-04-29,0.999,1.0,0.995,0.997,70462,7030708.0,0.5,-0.2,-0.002,1.51,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-04-30,0.997,1.001,0.995,0.996,277705,27715380.0,0.6,-0.1,-0.001,5.96,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-06,0.995,1.006,0.995,1.005,580934,58338813.0,1.1,0.9,0.009,12.46,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-07,1.014,1.019,1.008,1.011,872193,88226391.0,1.09,0.6,0.006,18.71,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-08,1.009,1.022,1.008,1.018,435646,44311929.0,1.38,0.69,0.007,9.35,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-09,1.016,1.018,1.015,1.017,99684,10133215.0,0.29,-0.1,-0.001,2.14,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-12,1.019,1.028,1.019,1.027,540385,55386689.0,0.88,0.98,0.01,11.59,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-13,1.031,1.034,1.027,1.029,334983,34479771.0,0.68,0.19,0.002,7.19,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-14,1.029,1.046,1.028,1.041,412360,42680302.0,1.75,1.17,0.012,8.85,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-15,1.042,1.042,1.032,1.033,334180,34635626.0,0.96,-0.77,-0.008,7.17,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-16,1.031,1.034,1.025,1.028,495051,50881564.0,0.87,-0.48,-0.005,10.62,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-19,1.024,1.026,1.021,1.026,451749,46271911.0,0.49,-0.19,-0.002,9.69,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-20,1.026,1.033,1.025,1.032,37478,3860723.0,0.78,0.58,0.006,0.8,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-21,1.026,1.039,1.026,1.037,108335,11207736.0,1.26,0.48,0.005,2.32,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-22,1.037,1.037,1.031,1.034,30850,3192080.0,0.58,-0.29,-0.003,0.66,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-23,1.036,1.04,1.026,1.027,601131,62256146.0,1.35,-0.68,-0.007,12.9,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-26,1.025,1.029,1.02,1.022,525110,53701886.0,0.88,-0.49,-0.005,11.27,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-27,1.021,1.021,1.014,1.016,346290,35280545.0,0.68,-0.59,-0.006,7.43,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-28,1.017,1.021,1.014,1.016,102010,10355925.0,0.69,0.0,0.0,2.19,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-29,1.018,1.025,1.018,1.021,491171,50122337.0,0.69,0.49,0.005,10.54,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-05-30,1.005,1.021,1.003,1.019,406642,41334691.0,1.76,-0.2,-0.002,8.72,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-03,1.017,1.022,1.015,1.019,170814,17369204.0,0.69,0.0,0.0,3.66,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-04,1.017,1.027,1.017,1.022,30892,3165668.0,0.98,0.29,0.003,0.66,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-05,1.023,1.027,1.021,1.025,180540,18500560.0,0.59,0.29,0.003,3.87,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-06,1.025,1.03,1.024,1.026,82124,8418196.0,0.59,0.1,0.001,1.76,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-09,1.026,1.032,1.026,1.028,138768,14273842.0,0.58,0.19,0.002,2.98,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-10,1.029,1.03,1.019,1.023,182431,18635419.0,1.07,-0.49,-0.005,3.91,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-11,1.023,1.036,1.023,1.031,145745,15034702.0,1.27,0.78,0.008,3.13,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-12,1.031,1.039,1.026,1.032,136057,13976199.0,1.26,0.1,0.001,2.92,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-13,1.03,1.045,1.021,1.024,104948,10772996.0,2.33,-0.78,-0.008,2.25,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-16,1.023,1.03,1.023,1.029,75169,7711840.0,0.68,0.49,0.005,1.61,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-17,1.029,1.043,1.023,1.028,119076,12229336.0,1.94,-0.1,-0.001,2.55,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-18,1.026,1.03,1.023,1.028,74395,7644044.0,0.68,0.0,0.0,1.6,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-19,1.029,1.029,1.017,1.018,216015,22121328.0,1.17,-0.97,-0.01,4.63,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-20,1.018,1.024,1.018,1.021,146850,15030695.0,0.59,0.29,0.003,3.15,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-23,1.018,1.029,1.018,1.026,164578,16883598.0,1.08,0.49,0.005,3.53,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-24,1.025,1.042,1.021,1.036,150623,15598162.0,2.05,0.97,0.01,3.23,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-25,1.036,1.053,1.034,1.05,171930,17904441.0,1.83,1.35,0.014,3.69,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-26,1.05,1.055,1.048,1.049,48812,5136164.0,0.67,-0.1,-0.001,1.05,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-27,1.045,1.057,1.042,1.044,113326,11893097.0,1.43,-0.48,-0.005,2.43,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-06-30,1.047,1.049,1.039,1.048,255146,26708776.0,0.96,0.38,0.004,5.47,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-07-01,1.058,1.141,1.041,1.05,237296,24832594.0,9.54,0.19,0.002,5.09,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
2025-07-02,1.052,1.06,1.047,1.051,64477,6778039.0,1.24,0.1,0.001,1.38,510320,沪深300ETF中金,2025-10-10 18:47:57,---,,
