日期，开盘，最高，最低，收盘，成交量，成交额，振幅，涨跌幅，涨跌额，换手率，IOPV，折价率，溢价率，ETF 代码，ETF 名称，爬取时间,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
,2025-04-30,1.439,1.45,1.436,1.447,5832300.0,8439338.26,0.0,0.0,,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-06,1.457,1.476,1.451,1.473,7937800.0,11692379.79,1.73,1.8,0.026,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-07,1.496,1.497,1.459,1.474,14089100.0,20767333.08,2.58,0.07,0.001,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-08,1.467,1.469,1.455,1.468,5237900.0,7689237.48,0.95,-0.41,-0.006,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-09,1.461,1.461,1.425,1.434,17867900.0,25622568.87,2.45,-2.32,-0.034,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-12,1.431,1.435,1.422,1.429,18146100.0,25930777.26,0.91,-0.35,-0.005,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-13,1.437,1.44,1.419,1.42,15276100.0,21692061.34,1.47,-0.63,-0.009,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-14,1.42,1.438,1.419,1.43,17126800.0,24491323.1,1.34,0.7,0.01,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-15,1.43,1.43,1.4,1.401,15542600.0,21775182.96,2.1,-2.03,-0.029,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-16,1.4,1.407,1.392,1.394,6830500.0,9521717.36,1.07,-0.5,-0.007,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-19,1.39,1.406,1.386,1.402,10344500.0,14502988.49,1.43,0.57,0.008,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-20,1.402,1.409,1.397,1.404,7960300.0,11176261.55,0.86,0.14,0.002,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-21,1.404,1.407,1.393,1.396,8695100.0,12138359.84,1.0,-0.57,-0.008,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-22,1.396,1.406,1.385,1.387,8670300.0,12025705.79,1.5,-0.64,-0.009,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-23,1.394,1.394,1.376,1.38,7275400.0,10040051.97,1.3,-0.5,-0.007,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-26,1.389,1.395,1.383,1.39,10560540.0,14679150.45,0.87,0.72,0.01,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-27,1.392,1.392,1.377,1.379,8660500.0,11942829.05,1.08,-0.79,-0.011,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-28,1.384,1.384,1.358,1.361,8623100.0,11736038.6,1.89,-1.31,-0.018,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-29,1.364,1.384,1.359,1.384,8989900.0,12442021.09,1.84,1.69,0.023,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-05-30,1.381,1.381,1.366,1.368,5327100.0,7287472.96,1.08,-1.16,-0.016,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-03,1.357,1.39,1.357,1.38,6711000.0,9261179.97,2.41,0.88,0.012,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-04,1.38,1.386,1.375,1.382,6211400.0,8584154.61,0.8,0.14,0.002,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-05,1.385,1.4,1.379,1.398,10942900.0,15298174.22,1.52,1.16,0.016,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-06,1.4,1.404,1.393,1.4,7620800.0,10669119.82,0.79,0.14,0.002,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-09,1.4,1.401,1.393,1.4,9318344.0,13045681.38,0.57,0.0,0.0,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-10,1.399,1.403,1.365,1.369,11852000.0,16225387.5,2.71,-2.21,-0.031,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-11,1.369,1.382,1.367,1.369,5194000.0,7110585.78,1.1,0.0,0.0,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-12,1.37,1.37,1.346,1.347,9667844.0,13022585.9,1.75,-1.61,-0.022,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-13,1.339,1.36,1.339,1.357,6150844.0,8346695.27,1.56,0.74,0.01,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-16,1.353,1.365,1.35,1.361,4153000.0,5652232.76,1.11,0.29,0.004,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-17,1.363,1.363,1.345,1.349,5856500.0,7900418.37,1.32,-0.88,-0.012,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-18,1.349,1.366,1.344,1.362,7926100.0,10795348.11,1.63,0.96,0.013,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-19,1.363,1.381,1.357,1.365,8320800.0,11357892.08,1.76,0.22,0.003,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-20,1.366,1.378,1.366,1.366,5404200.0,7382137.5,0.88,0.07,0.001,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-23,1.364,1.405,1.363,1.396,17347900.0,24217668.88,3.07,2.2,0.03,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-24,1.399,1.412,1.395,1.411,13116100.0,18506817.28,1.22,1.07,0.015,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-25,1.411,1.429,1.403,1.429,18414000.0,26313606.37,1.84,1.28,0.018,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-26,1.43,1.445,1.42,1.42,11927400.0,16936907.49,1.75,-0.63,-0.009,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-27,1.424,1.43,1.412,1.413,12821800.0,18117203.24,1.27,-0.49,-0.007,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-06-30,1.416,1.448,1.416,1.44,11515600.0,16582464.66,2.26,1.91,0.027,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-01,1.441,1.444,1.427,1.436,14269500.0,20491001.85,1.18,-0.28,-0.004,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-02,1.43,1.433,1.406,1.41,8052000.0,11353319.73,1.88,-1.81,-0.026,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-03,1.408,1.424,1.402,1.408,5327500.0,7501119.96,1.56,-0.14,-0.002,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-04,1.408,1.447,1.398,1.422,15023000.0,21362706.76,3.48,0.99,0.014,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-07,1.419,1.434,1.418,1.42,6567200.0,9325423.72,1.13,-0.14,-0.002,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-08,1.422,1.435,1.421,1.431,9767500.0,13977292.44,0.99,0.77,0.011,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-09,1.432,1.438,1.416,1.418,6972700.0,9887288.48,1.54,-0.91,-0.013,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-10,1.408,1.42,1.405,1.415,5942400.0,8408495.77,1.06,-0.21,-0.003,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
,2025-07-11,1.41,1.435,1.405,1.432,13514410.0,19352635.67,2.12,1.2,0.017,0.0,0.0,0.0,0.0,159582,半导体ETF博时,2026-04-30 04:09:55
