日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,IOPV,折价率,溢价率,ETF代码,ETF名称,爬取时间
2022-03-11,0.673,0.692,0.666,0.691,102842000,71063822.00,3.90,1.47,0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-14,0.687,0.689,0.672,0.673,89373000,60148029.00,2.53,-2.60,-0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-15,0.668,0.682,0.654,0.657,101825600,66899419.20,4.28,-2.38,-0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-16,0.661,0.686,0.647,0.682,109007400,74343046.80,6.03,3.81,0.03,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-17,0.686,0.713,0.684,0.701,119696200,83907036.20,4.24,2.79,0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-18,0.697,0.707,0.692,0.706,73080500,51594833.00,2.17,0.71,0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-21,0.707,0.715,0.701,0.708,81010800,57355646.40,2.00,0.28,0.00,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-22,0.708,0.708,0.693,0.695,80515800,55958481.00,2.16,-1.84,-0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-23,0.699,0.703,0.693,0.701,59372600,41620192.60,1.44,0.86,0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-24,0.697,0.703,0.685,0.699,75579900,52830350.10,2.63,-0.29,-0.00,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-25,0.699,0.702,0.681,0.682,85267100,58152162.20,3.08,-2.43,-0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-28,0.680,0.680,0.664,0.669,89686200,60000067.80,2.41,-1.91,-0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-29,0.668,0.676,0.664,0.666,81829800,54498646.80,1.81,-0.45,-0.00,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-30,0.669,0.685,0.668,0.684,81047600,55436558.40,2.54,2.70,0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-03-31,0.684,0.685,0.676,0.680,71448400,48584912.00,1.33,-0.58,-0.00,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-01,0.673,0.681,0.670,0.676,62953400,42556498.40,1.64,-0.59,-0.00,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-06,0.674,0.675,0.663,0.668,56209400,37547879.20,1.81,-1.18,-0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-07,0.665,0.665,0.652,0.652,73140300,47687475.60,1.99,-2.40,-0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-08,0.651,0.664,0.648,0.654,64306000,42056124.00,2.47,0.31,0.00,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-11,0.651,0.651,0.628,0.632,80076800,50608537.60,3.66,-3.36,-0.02,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-12,0.632,0.639,0.627,0.638,74939700,47811528.60,1.91,0.95,0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
2022-04-13,0.635,0.635,0.623,0.625,71091600,44432250.00,1.93,-2.04,-0.01,0.00,0.0,0.0,0.0,588330,588330,2026/4/27 12:02:24
