日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率,IOPV,溢价率
2024-09-30,0.69,0.74,0.69,0.74,132634,9644847.0,7.43,9.96,0.067,3.88,516660,新能源车ETF基金,2025-10-02 18:24:31,,,
2024-10-08,0.814,0.814,0.754,0.814,188335,15222156.0,8.11,10.0,0.074,5.51,516660,新能源车ETF基金,2025-10-02 18:24:31,,,
2024-10-09,0.815,0.815,0.75,0.754,171863,13504112.0,7.99,-7.37,-0.06,5.03,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-10,0.753,0.78,0.742,0.754,96638,7370181.0,5.04,0.0,0.0,2.83,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-11,0.753,0.753,0.699,0.715,94183,6773322.0,7.16,-5.17,-0.039,2.76,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-14,0.715,0.726,0.702,0.724,41613,2984184.0,3.36,1.26,0.009,1.22,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-15,0.725,0.73,0.704,0.704,55816,3983579.0,3.59,-2.76,-0.02,1.63,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-16,0.697,0.7,0.687,0.691,89942,6249016.0,1.85,-1.85,-0.013,2.63,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-17,0.693,0.7,0.683,0.684,22336,1543654.0,2.46,-1.01,-0.007,0.65,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-18,0.68,0.743,0.68,0.722,93552,6677786.0,9.21,5.56,0.038,2.74,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-21,0.725,0.743,0.724,0.729,51299,3761502.0,2.63,0.97,0.007,1.5,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-22,0.721,0.736,0.721,0.736,29907,2179318.0,2.06,0.96,0.007,0.88,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-23,0.736,0.752,0.728,0.742,41840,3097206.0,3.26,0.82,0.006,1.22,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-24,0.742,0.742,0.725,0.727,28657,2095881.0,2.29,-2.02,-0.015,0.84,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-25,0.731,0.772,0.731,0.761,88183,6682682.0,5.64,4.68,0.034,2.58,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-28,0.761,0.761,0.749,0.759,43767,3301920.0,1.58,-0.26,-0.002,1.28,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-29,0.76,0.769,0.743,0.744,39669,2990014.0,3.43,-1.98,-0.015,1.16,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-30,0.74,0.748,0.73,0.735,33970,2513243.0,2.42,-1.21,-0.009,0.99,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-10-31,0.732,0.746,0.726,0.738,32607,2401574.0,2.72,0.41,0.003,0.95,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-11-01,0.738,0.75,0.728,0.736,28686,2124363.0,2.98,-0.27,-0.002,0.84,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
2024-11-04,0.74,0.761,0.74,0.756,58530,4414970.0,2.85,2.72,0.02,1.71,516660,新能源车ETF基金,2025-10-09 21:02:02,-0.09%,,
