日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间,折价率,IOPV,溢价率
2024-11-06,1.06,1.094,1.047,1.063,1817696,193605796.247,4.46,0.85,0.009,115.51,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-07,1.051,1.108,1.034,1.108,883752,94227489.698,6.96,4.23,0.045,56.16,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-08,1.112,1.138,1.107,1.113,518846,58276536.908,2.8,0.45,0.005,32.97,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-11,1.114,1.164,1.108,1.164,371314,42555315.281,5.03,4.58,0.051,23.6,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-12,1.167,1.167,1.128,1.14,368733,42446264.664,3.35,-2.06,-0.024,23.43,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-13,1.14,1.167,1.118,1.163,233596,26790143.469,4.3,2.02,0.023,14.84,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-14,1.163,1.174,1.128,1.132,174715,20147580.886,3.96,-2.67,-0.031,11.1,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-15,1.132,1.159,1.091,1.092,216953,24379243.879,6.01,-3.53,-0.04,13.79,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-18,1.093,1.1,1.021,1.028,132250,13804565.246,7.23,-5.86,-0.064,8.4,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-19,1.028,1.054,1.009,1.051,130205,13449489.799,4.38,2.24,0.023,8.27,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-20,1.05,1.084,1.044,1.072,101838,10839861.049,3.81,2.0,0.021,6.47,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-21,1.07,1.109,1.066,1.094,115159,12543601.553,4.01,2.05,0.022,7.32,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-22,1.099,1.119,1.059,1.06,135867,14820709.446,5.48,-3.11,-0.034,8.63,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-25,1.06,1.075,1.025,1.057,196024,20470325.434,4.72,-0.28,-0.003,12.46,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-26,1.057,1.066,1.033,1.034,95690,10013763.711,3.12,-2.18,-0.023,6.08,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-27,1.034,1.077,1.013,1.075,100323,10450191.073,6.19,3.97,0.041,6.38,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-28,1.08,1.09,1.056,1.057,68438,7347966.082,3.16,-1.67,-0.018,4.35,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-11-29,1.057,1.116,1.054,1.098,177279,19389253.641,5.87,3.88,0.041,11.27,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-02,1.088,1.113,1.087,1.106,102337,11303132.537,2.37,0.73,0.008,6.5,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-03,1.1,1.113,1.088,1.103,52174,5738585.024,2.26,-0.27,-0.003,3.32,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-04,1.104,1.125,1.08,1.085,108935,11909742.385,4.08,-1.63,-0.018,6.92,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-05,1.084,1.124,1.08,1.117,163292,18173384.392,4.06,2.95,0.032,10.38,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-06,1.117,1.142,1.104,1.122,70472,7929732.445,3.4,0.45,0.005,4.48,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-09,1.12,1.142,1.102,1.113,68783,7667774.493,3.57,-0.8,-0.009,4.37,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-10,1.149,1.166,1.131,1.134,103599,11896311.766,3.14,1.89,0.021,6.58,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-11,1.128,1.132,1.116,1.131,63458,7139346.547,1.41,-0.26,-0.003,4.03,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-12,1.14,1.147,1.111,1.13,72405,8120279.731,3.18,-0.09,-0.001,4.6,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-13,1.121,1.124,1.097,1.098,47801,5312231.018,2.39,-2.83,-0.032,3.04,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-16,1.098,1.098,1.07,1.076,60292,6502741.879,2.55,-2.0,-0.022,3.83,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-17,1.075,1.076,1.054,1.056,64826,6875419.762,2.04,-1.86,-0.02,4.12,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-18,1.057,1.073,1.048,1.07,52796,5609703.759,2.37,1.33,0.014,3.36,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-19,1.069,1.083,1.05,1.08,69507,7413427.82,3.08,0.93,0.01,4.42,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-20,1.074,1.097,1.074,1.087,100957,10977969.9,2.13,0.65,0.007,6.42,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-23,1.089,1.089,1.047,1.049,100442,10643491.1,3.86,-3.5,-0.038,6.38,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-24,1.049,1.057,1.038,1.055,82651,8649681.051,1.81,0.57,0.006,5.25,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-25,1.056,1.056,1.034,1.042,99863,10397721.169,2.09,-1.23,-0.013,6.35,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-26,1.042,1.067,1.042,1.059,70375,7452961.228,2.4,1.63,0.017,4.47,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-27,1.056,1.08,1.051,1.056,74229,7936274.181,2.74,-0.28,-0.003,4.72,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-30,1.053,1.061,1.037,1.051,23402,2459609.757,2.27,-0.47,-0.005,1.49,159590,软件50ETF,2025-10-07 18:26:33,,,
2024-12-31,1.053,1.055,1.005,1.008,203676,20893918.795,4.76,-4.09,-0.043,12.94,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-02,0.999,1.0,0.944,0.955,138307,13479635.385,5.56,-5.26,-0.053,8.79,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-03,0.958,0.958,0.913,0.915,88588,8254520.076,4.71,-4.19,-0.04,5.63,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-06,0.911,0.923,0.901,0.907,59060,5376873.716,2.4,-0.87,-0.008,3.75,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-07,0.921,0.928,0.908,0.928,50000,4585272.638,2.21,2.32,0.021,3.18,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-08,0.922,0.925,0.888,0.918,111301,10071853.824,3.99,-1.08,-0.01,7.07,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-09,0.911,0.931,0.91,0.924,65897,6097168.8,2.29,0.65,0.006,4.19,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-10,0.922,0.935,0.902,0.903,72769,6689880.1,3.57,-2.27,-0.021,4.62,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-13,0.889,0.916,0.885,0.908,60687,5483476.2,3.43,0.55,0.005,3.86,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-14,0.915,0.975,0.911,0.975,229267,21815846.031,7.05,7.38,0.067,14.57,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-15,0.966,0.966,0.954,0.955,94881,9104635.495,1.23,-2.05,-0.02,6.03,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-16,0.962,0.994,0.957,0.966,139992,13652004.398,3.87,1.15,0.011,8.9,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-17,0.958,0.977,0.956,0.967,85815,8305322.913,2.17,0.1,0.001,5.45,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-20,0.97,0.979,0.964,0.967,85927,8342426.445,1.55,0.0,0.0,5.46,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-21,0.971,0.975,0.96,0.975,122570,11884553.61,1.55,0.83,0.008,7.79,159590,软件50ETF,2025-10-07 18:26:33,,,
2025-01-22,0.97,0.972,0.962,0.966,57933,5602476.466,1.03,-0.92,-0.009,3.68,159590,软件50ETF,2025-10-07 18:26:33,,,
