日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ETF代码,ETF名称,爬取时间
2024-10-10,0.661,0.672,0.602,0.654,8164,522153.0,10.57,-1.21,-0.008,4.5,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-11,0.643,0.643,0.6,0.621,21396,1302776.0,6.57,-5.05,-0.033,11.79,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-14,0.621,0.636,0.598,0.621,19366,1180964.0,6.12,0.0,0.0,10.67,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-15,0.615,0.615,0.565,0.612,5505,332918.0,8.05,-1.45,-0.009,3.03,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-16,0.6,0.603,0.585,0.587,18889,1116919.0,2.94,-4.08,-0.025,10.41,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-17,0.587,0.597,0.583,0.595,5250,308073.0,2.39,1.36,0.008,2.89,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-18,0.577,0.63,0.577,0.626,18929,1137453.0,8.91,5.21,0.031,10.43,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-21,0.63,0.634,0.607,0.63,24668,1543089.0,4.31,0.64,0.004,13.59,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-22,0.63,0.643,0.611,0.641,7088,441951.0,5.08,1.75,0.011,3.91,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-23,0.641,0.645,0.622,0.64,29796,1894133.0,3.59,-0.16,-0.001,16.42,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-24,0.63,0.643,0.624,0.63,7913,499859.0,2.97,-1.56,-0.01,4.36,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-25,0.631,0.658,0.622,0.657,11100,720333.0,5.71,4.29,0.027,6.12,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-28,0.665,0.67,0.646,0.654,7514,490616.0,3.65,-0.46,-0.003,4.14,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-29,0.654,0.668,0.644,0.647,5755,376352.0,3.67,-1.07,-0.007,3.17,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-30,0.638,0.654,0.634,0.649,4595,295593.0,3.09,0.31,0.002,2.53,516480,新材料ETF基金,2025-10-10 19:24:57
2024-10-31,0.653,0.665,0.626,0.649,3421,221377.0,6.01,0.0,0.0,1.89,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-01,0.648,0.653,0.637,0.64,23465,1505098.0,2.47,-1.39,-0.009,12.93,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-04,0.631,0.648,0.622,0.648,6639,424871.0,4.06,1.25,0.008,3.66,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-05,0.647,0.668,0.632,0.666,6082,399471.0,5.56,2.78,0.018,3.35,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-06,0.669,0.684,0.65,0.67,9205,618035.0,5.11,0.6,0.004,5.07,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-07,0.672,0.676,0.644,0.676,8004,532359.0,4.78,0.9,0.006,4.41,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-08,0.676,0.693,0.676,0.679,26543,1813012.0,2.51,0.44,0.003,14.63,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-11,0.678,0.72,0.678,0.717,13572,943064.0,6.19,5.6,0.038,7.48,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-12,0.719,0.719,0.696,0.715,16590,1176704.0,3.21,-0.28,-0.002,9.14,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-13,0.716,0.716,0.684,0.699,15854,1098944.0,4.48,-2.24,-0.016,8.74,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-14,0.699,0.7,0.677,0.678,6524,447839.0,3.29,-3.0,-0.021,3.6,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-15,0.678,0.678,0.64,0.656,5123,340198.0,5.6,-3.24,-0.022,2.82,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-18,0.652,0.665,0.645,0.649,4655,303890.0,3.05,-1.07,-0.007,2.57,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-19,0.654,0.665,0.64,0.665,7530,490503.0,3.85,2.47,0.016,4.15,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-20,0.67,0.676,0.653,0.671,11822,784502.0,3.46,0.9,0.006,6.51,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-21,0.672,0.685,0.658,0.667,5226,349871.0,4.02,-0.6,-0.004,2.88,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-22,0.666,0.674,0.627,0.654,6687,439200.0,7.05,-1.95,-0.013,3.69,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-25,0.656,0.669,0.628,0.656,9413,607299.0,6.27,0.31,0.002,5.19,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-26,0.654,0.662,0.635,0.64,8828,572285.0,4.12,-2.44,-0.016,4.86,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-27,0.644,0.688,0.626,0.655,8495,542504.0,9.69,2.34,0.015,4.68,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-28,0.654,0.661,0.643,0.658,9987,649087.0,2.75,0.46,0.003,5.5,516480,新材料ETF基金,2025-10-10 19:24:57
2024-11-29,0.649,0.661,0.643,0.658,13046,851989.0,2.74,0.0,0.0,7.19,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-02,0.66,0.663,0.645,0.659,14442,945549.0,2.74,0.15,0.001,7.96,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-03,0.657,0.662,0.645,0.658,10370,676116.0,2.58,-0.15,-0.001,5.71,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-04,0.655,0.655,0.638,0.644,16440,1059446.0,2.58,-2.13,-0.014,9.06,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-05,0.644,0.644,0.636,0.638,6067,387168.0,1.24,-0.93,-0.006,3.34,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-06,0.644,0.654,0.633,0.648,45622,2945483.0,3.29,1.57,0.01,25.14,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-09,0.642,0.65,0.642,0.648,8075,521369.0,1.23,0.0,0.0,4.45,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-10,0.655,0.675,0.645,0.647,12032,788829.0,4.63,-0.15,-0.001,6.63,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-11,0.648,0.648,0.642,0.643,4126,266709.0,0.93,-0.62,-0.004,2.27,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-12,0.64,0.65,0.64,0.65,3600,232788.0,1.56,1.09,0.007,1.98,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-13,0.644,0.644,0.633,0.635,2738,174438.0,1.69,-2.31,-0.015,1.51,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-16,0.635,0.635,0.62,0.623,4516,282720.0,2.36,-1.89,-0.012,2.49,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-17,0.623,0.632,0.623,0.625,2625,164440.0,1.44,0.32,0.002,1.45,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-18,0.624,0.63,0.624,0.625,3391,212315.0,0.96,0.0,0.0,1.87,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-19,0.623,0.627,0.619,0.627,2136,133397.0,1.28,0.32,0.002,1.18,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-20,0.62,0.631,0.62,0.628,2703,169220.0,1.75,0.16,0.001,1.49,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-23,0.628,0.628,0.616,0.616,3298,204870.0,1.91,-1.91,-0.012,1.82,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-24,0.621,0.629,0.621,0.628,2991,187060.0,1.3,1.95,0.012,1.65,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-25,0.628,0.628,0.62,0.62,2077,129951.0,1.27,-1.27,-0.008,1.14,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-26,0.623,0.624,0.62,0.621,652,40529.0,0.65,0.16,0.001,0.36,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-27,0.623,0.627,0.617,0.626,1710,106499.0,1.61,0.81,0.005,0.94,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-30,0.621,0.636,0.618,0.624,3017,188155.0,2.88,-0.32,-0.002,1.66,516480,新材料ETF基金,2025-10-10 19:24:57
2024-12-31,0.618,0.629,0.604,0.612,8819,540274.0,4.01,-1.92,-0.012,4.86,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-02,0.606,0.624,0.589,0.592,4380,264983.0,5.72,-3.27,-0.02,2.41,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-03,0.594,0.595,0.579,0.586,4472,262614.0,2.7,-1.01,-0.006,2.46,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-06,0.591,0.598,0.573,0.586,2315,136667.0,4.27,0.0,0.0,1.28,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-07,0.572,0.587,0.572,0.586,2767,161493.0,2.56,0.0,0.0,1.52,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-08,0.582,0.6,0.573,0.582,2365,139388.0,4.61,-0.68,-0.004,1.3,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-09,0.574,0.587,0.574,0.585,2188,127151.0,2.23,0.52,0.003,1.21,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-10,0.59,0.597,0.575,0.576,2607,153400.0,3.76,-1.54,-0.009,1.44,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-13,0.572,0.582,0.572,0.581,1801,103788.0,1.74,0.87,0.005,0.99,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-14,0.586,0.597,0.573,0.594,7858,465212.0,4.13,2.24,0.013,4.33,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-15,0.59,0.594,0.58,0.592,5231,309254.0,2.36,-0.34,-0.002,2.88,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-16,0.597,0.603,0.582,0.594,2206,131657.0,3.55,0.34,0.002,1.22,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-17,0.595,0.599,0.588,0.598,2515,149287.0,1.85,0.67,0.004,1.39,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-20,0.603,0.61,0.596,0.598,2428,145919.0,2.34,0.0,0.0,1.34,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-21,0.605,0.609,0.585,0.595,2292,136992.0,4.01,-0.5,-0.003,1.26,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-22,0.595,0.606,0.584,0.591,2080,123088.0,3.7,-0.67,-0.004,1.15,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-23,0.592,0.602,0.583,0.589,2059,121731.0,3.21,-0.34,-0.002,1.13,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-24,0.588,0.592,0.578,0.591,3537,207968.0,2.38,0.34,0.002,1.95,516480,新材料ETF基金,2025-10-10 19:24:57
2025-01-27,0.591,0.596,0.587,0.592,2858,168597.0,1.52,0.17,0.001,1.57,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-05,0.595,0.602,0.586,0.587,2230,131672.0,2.7,-0.84,-0.005,1.23,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-06,0.586,0.602,0.581,0.601,4239,251115.0,3.58,2.39,0.014,2.34,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-07,0.597,0.615,0.597,0.61,23551,1439950.0,3.0,1.5,0.009,12.98,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-10,0.61,0.611,0.601,0.611,2420,146668.0,1.64,0.16,0.001,1.33,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-11,0.611,0.611,0.599,0.605,1951,117488.0,1.96,-0.98,-0.006,1.08,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-12,0.605,0.61,0.6,0.61,11461,694933.0,1.65,0.83,0.005,6.32,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-13,0.618,0.618,0.61,0.613,3718,228207.0,1.31,0.49,0.003,2.05,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-14,0.61,0.617,0.608,0.613,2336,142451.0,1.47,0.0,0.0,1.29,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-17,0.613,0.613,0.608,0.612,1579,96425.0,0.82,-0.16,-0.001,0.87,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-18,0.61,0.622,0.608,0.61,16764,1035652.0,2.29,-0.33,-0.002,9.24,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-19,0.617,0.624,0.613,0.623,15641,970505.0,1.8,2.13,0.013,8.62,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-20,0.62,0.625,0.619,0.625,1583,98358.0,0.96,0.32,0.002,0.87,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-21,0.625,0.634,0.623,0.634,4346,273445.0,1.76,1.44,0.009,2.4,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-24,0.634,0.634,0.617,0.634,1262,79634.0,2.68,0.0,0.0,0.7,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-25,0.627,0.634,0.627,0.634,18474,1165524.0,1.1,0.0,0.0,10.18,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-26,0.634,0.639,0.632,0.638,6752,429015.0,1.1,0.63,0.004,3.72,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-27,0.639,0.64,0.634,0.64,4706,300500.0,0.94,0.31,0.002,2.59,516480,新材料ETF基金,2025-10-10 19:24:57
2025-02-28,0.64,0.643,0.628,0.631,1249,79907.0,2.34,-1.41,-0.009,0.69,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-03,0.635,0.649,0.635,0.64,2307,148134.0,2.22,1.43,0.009,1.27,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-04,0.641,0.641,0.63,0.633,1084,68676.0,1.72,-1.09,-0.007,0.6,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-05,0.626,0.633,0.626,0.631,4594,290457.0,1.11,-0.32,-0.002,2.53,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-06,0.632,0.643,0.632,0.642,1210,77361.0,1.74,1.74,0.011,0.67,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-07,0.643,0.644,0.634,0.639,709,45454.0,1.56,-0.47,-0.003,0.39,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-10,0.638,0.642,0.637,0.641,659,42049.0,0.78,0.31,0.002,0.36,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-11,0.64,0.64,0.638,0.64,1030,65908.0,0.31,-0.16,-0.001,0.57,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-12,0.64,0.641,0.636,0.641,3068,195926.0,0.78,0.16,0.001,1.69,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-13,0.641,0.656,0.631,0.635,5177,331737.0,3.9,-0.94,-0.006,2.85,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-14,0.63,0.643,0.63,0.639,4796,306541.0,2.05,0.63,0.004,2.64,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-17,0.648,0.648,0.639,0.643,1270,81668.0,1.41,0.63,0.004,0.7,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-18,0.646,0.646,0.622,0.625,2548,160898.0,3.73,-2.8,-0.018,1.4,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-19,0.642,0.648,0.636,0.638,29849,1912960.0,1.92,2.08,0.013,16.45,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-20,0.641,0.641,0.633,0.634,5347,340563.0,1.25,-0.63,-0.004,2.95,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-21,0.634,0.637,0.622,0.623,5328,334475.0,2.37,-1.74,-0.011,2.94,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-24,0.622,0.628,0.613,0.621,9986,621657.0,2.41,-0.32,-0.002,5.5,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-25,0.621,0.635,0.621,0.635,24698,1555509.0,2.25,2.25,0.014,13.61,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-26,0.635,0.651,0.626,0.629,20463,1292271.0,3.94,-0.94,-0.006,11.28,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-27,0.624,0.629,0.62,0.626,6637,414011.0,1.43,-0.48,-0.003,3.66,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-28,0.625,0.626,0.617,0.62,4618,286328.0,1.44,-0.96,-0.006,2.54,516480,新材料ETF基金,2025-10-10 19:24:57
2025-03-31,0.616,0.616,0.606,0.611,2462,150350.0,1.61,-1.45,-0.009,1.36,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-01,0.611,0.615,0.61,0.612,2963,181406.0,0.82,0.16,0.001,1.63,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-02,0.616,0.633,0.609,0.61,5282,329166.0,3.92,-0.33,-0.002,2.91,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-03,0.61,0.613,0.595,0.605,5410,325714.0,2.95,-0.82,-0.005,2.98,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-07,0.572,0.604,0.545,0.546,9907,565312.0,9.75,-9.75,-0.059,5.46,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-08,0.548,0.562,0.548,0.557,5555,306327.0,2.56,2.01,0.011,3.06,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-09,0.56,0.582,0.547,0.579,21152,1197456.0,6.28,3.95,0.022,11.66,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-10,0.577,0.598,0.568,0.585,24990,1468973.0,5.18,1.04,0.006,13.77,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-11,0.576,0.584,0.574,0.581,2745,158607.0,1.71,-0.68,-0.004,1.51,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-14,0.584,0.587,0.58,0.583,4322,251907.0,1.2,0.34,0.002,2.38,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-15,0.58,0.585,0.566,0.57,11214,638538.0,3.26,-2.23,-0.013,6.18,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-16,0.571,0.587,0.568,0.573,24491,1417062.0,3.33,0.53,0.003,13.5,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-17,0.572,0.576,0.567,0.573,4041,232321.0,1.57,0.0,0.0,2.23,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-18,0.567,0.575,0.567,0.575,1992,113317.0,1.4,0.35,0.002,1.1,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-21,0.569,0.582,0.561,0.579,12238,691866.0,3.65,0.7,0.004,6.74,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-22,0.579,0.584,0.569,0.582,11027,641930.0,2.59,0.52,0.003,6.08,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-23,0.578,0.584,0.578,0.582,3033,176521.0,1.03,0.0,0.0,1.67,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-24,0.58,0.581,0.561,0.577,17388,991770.0,3.44,-0.86,-0.005,9.58,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-25,0.578,0.584,0.576,0.581,9496,550660.0,1.39,0.69,0.004,5.23,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-28,0.576,0.582,0.576,0.576,5272,305704.0,1.03,-0.86,-0.005,2.91,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-29,0.584,0.585,0.573,0.575,1223,71117.0,2.08,-0.17,-0.001,0.67,516480,新材料ETF基金,2025-10-10 19:24:57
2025-04-30,0.573,0.579,0.573,0.578,7172,414092.0,1.04,0.52,0.003,3.95,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-06,0.579,0.584,0.579,0.584,3949,229584.0,0.87,1.04,0.006,2.18,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-07,0.586,0.591,0.584,0.584,5645,330988.0,1.2,0.0,0.0,3.11,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-08,0.584,0.596,0.573,0.595,15397,906709.0,3.94,1.88,0.011,8.49,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-09,0.593,0.595,0.585,0.588,2312,136070.0,1.68,-1.18,-0.007,1.27,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-12,0.594,0.598,0.59,0.597,3781,224812.0,1.36,1.53,0.009,2.08,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-13,0.603,0.603,0.596,0.6,3700,221747.0,1.17,0.5,0.003,2.04,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-14,0.595,0.602,0.594,0.6,9922,591359.0,1.33,0.0,0.0,5.47,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-15,0.598,0.598,0.59,0.59,3364,199471.0,1.33,-1.67,-0.01,1.85,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-16,0.593,0.593,0.589,0.59,1368,80769.0,0.68,0.0,0.0,0.75,516480,新材料ETF基金,2025-10-10 19:24:57
2025-05-19,0.589,0.595,0.588,0.591,1225,72224.0,1.19,0.17,0.001,0.68,516480,新材料ETF基金,2025-10-10 19:24:57
